Name,Time,Post
Album Pohela Falgun 2022Opus Technology Limited added 8 new photos.  , 14i 8FtaaSe6i3poc2bnso05ru16mar5heru06d6y7m  ,+441 411 shareLikeCommentShare
Opus Technology Limited  , 11i7 Maracc6i30ht maSt 58c0pmo141:nu06s63o0r9ed5  ,6 6LikeCommentShare
Opus Technology Limited  , 31i 8MtaaSa6i3poc2ynso05 216m0r5he2u06d617m  ,"Our director Bipasha Afrin has Successfully completed delivering customized coaching sessions as second part of the 3 months long United Nations project ""Digital Transformation Mentoring for Business Growth"". Mr. Saif Noman Khan, Associate Professor, IBA, DU  is the mentor of this program. We are giving our thanks to Mr. Saif for his outstanding delivery.      This project is commissioned by SheTrades Commonwealth under UN and WTO, Sponsored by VISA Global and exclusively ex… See more61 6135 comments1 shareLikeCommentShare"
"See all public posts for ""opus technology limited""", 24t913S p8Fmfeob0gfr3n04ggts9uor1maed89r10y  ,"Our Company “Opus Technology Limited” provides top ERP System “Opus ERP” an enterprise resource planning system for office and commercials. It refers about ERP software the systems and software packages used by organizations to manage day-to-day business activities, such Accounting, ProcurementWhy should use our “ABACUS” ERP System?• Saving Money• Improved Collaboration… See moreopus-bd.comOpus ERP - Opus Technology LimitedENTERPRISE RESOURCE PLANNING SYSTEM ERP System for Offices and Commercials Our Company “Opus Technology Limited” provides top ERP System “Opus ERP” an enterprise resource planning system for office and commercials. It refers about ERP software the systems and software packages used by organi...1 1LikeShare"
Muhammad Enamul Kabir  , 4l1gt54 M5Sfapr1gch3to4 atns1fo1mre8 18d907:226  ,Supply chain management is one of the most crucial part of a business operation and Opus Technology Ltd brings you complete solutions for digitalized supply chain management so that the day to day business operations become very smooth and easy. It is very efficient and will save a lot of your time.Visit us for more info: https://opus-bd.com/dostavi/Contact us: info@opus-bd.com11 111 shareLikeCommentShare
Opus Technology Limited  , 14t963S p8Fmfeob0gfr3n04ggts9uor1maed89r10y  ,We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See more15 15LikeCommentShare
Opus Technology Limited  , 24t9g3S9p85mf0ot0gf63n04ggts91or1mced89110h  ,VAT Automation SystemOpus Technology Ltd is one of the few companies listed by the NBR to create VAT management software for companies in Bangladesh. VAT calculation is obviously one of the most important tasks of any company and it is very crucial for a company to precisely calculate the VAT at a specific period of time and we are more than happy to create the perfect VAT management software for you at your demand. Visit our website and contact us for more information at  … See more3 3LikeCommentShare
Opus Technology Limited  , 201m iFe9mctSb5m230pioncruu9a7uso0r53redy2f  ,"We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See moreopus-bd.comGoldfish - Opus Technology LimitedGOLDFISH-HR & PAYROLLMANAGEMENT SYSTEM Our Company “Opus Technology Limited” provides best HR AND PAYROLL MANAGEMENT SYSTEM “GOLDFISH”. It is an Integrated, Flexible and Affordable Human Resources and Payroll Management System ideal for managing organization’s most valuable assets the “H...2 2LikeShare"
Muhammad Enamul Kabir  , tSp1io68mcg nD0s30uo1eccemr17bam6ee3r d201220  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)21 21LikeCommentShare"
Opus Technology Limited  , 1l26g MtS01p7a5r23onich at 920samo:r3m2eh2f200gd  ,"Inventory management practices can help you save money and keep an accurate stock count. However, you can see amazing benefits and efficiency when you add an ERP system with inventory management capabilities.Do visit our website and contact us for more information at info@opus-bd.comVisit us for more info: https://opus-bd.com/grow/8 81 shareLikeCommentShare"
