Name,Time,Post
Album Pohela Falgun 2022Opus Technology Limited added 8 new photos.  , 911tf4578i75Sfgu2 Fpeonbs17o9recruar1di0y9  ,+441 41
Opus Technology Limited  , 117 fM1t8a7rcSgh2 31a7t1 7p19o645n00:60so0rg1ed  ,
Opus Technology Limited  , 913tf 578i75Sfgu2Mapyon s17o9rec20201di019  ,"Our director Bipasha Afrin has Successfully completed delivering customized coaching sessions as second part of the 3 months long United Nations project ""Digital Transformation Mentoring for Business Growth"". Mr. Saif Noman Khan, Associate Professor, IBA, DU  is the mentor of this program. We are giving our thanks to Mr. Saif for his outstanding delivery.      This project is commissioned by SheTrades Commonwealth under UN and WTO, Sponsored by VISA Global and exclusively ex… See more61 6135 comments"
"See all public posts for ""opus technology limited""", 2i95 iO5tuSclpo59tnf2aober soar2he2f01201d50  ,Day 2 @ #JapanITWeek Autumn 2020   Our #tech companies are now exhibiting their latest technology solutions and interacting with the international buyers in Japan. It's been so far a good experience of #hybrid #exhibition (onsite + #virtual) #B2B … See more0:00 / 0:08+716 161 
Tanvir Ahmad  , 16 F1i8tSp2oe5l5ns9foa41ubrriac3huaf0reudy5  ,We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See mo
Opus Technology Limited  , 1i65t Mar1cSl5p5og9h2 n1s6alt c3ol20:0ru1e00g5md  ,"Inventory management practices can help you save money and keep an accurate stock count. However, you can see amazing benefits and efficiency when you add an ERP system with inventory management capabilities.Do visit our website and contact us for more information at info@opus-bd.comVisit us for more info: https://opus-bd.com/grow/8 8"
Opus Technology Limited  , 1ittciS01u2p 5o5nNsfoov1ermber0 hl2e25du1020g5  ,Business meeting at Africa Tech 20202 2
Opus Technology Limited  , 2tiS62p7oc31 nFebs5r9h5u2aory3 8a5t1i2 0a213:ar6ed009  ,"Our Company “Opus Technology Limited” provides top ERP System “Opus ERP” an enterprise resource planning system for office and commercials. It refers about ERP software the systems and software packages used by organizations to manage day-to-day business activities, such Accounting, ProcurementWhy should use our “ABACUS” ERP System?• Saving Money• Improved Collaboration… See moreopus-bd.comOpus ERP - Opus Technology LimitedENTERPRISE RESOURCE PLANNING SYSTEM ERP System for Offices and Commercials Our Company “Opus Technology Limited” provides top ERP System “Opus ERP” an enterprise resource planning system for office and commercials. It refers about ERP software the systems and software packages used by organ"
Muhammad Enamul Kabir  , 184i1t 37MariSpagconh0hscof rl3l8eat 19:d1h2h1a6  ,Supply chain management is one of the most crucial part of a business operation and Opus Technology Ltd brings you complete solutions for digitalized supply chain management so that the day to day business operations become very smooth and easy. It is very efficient and will save a lot of your time.Visit us for more info: https://opus-bd.com/dostavi/Contact us: info@opus-bd.com11 11
Opus Technology Limited  , 81i66t3 1DSiuepcoenh9h5mbf7seol8rr9e0 12d0201  ,
Opus Technology Limited  , 81i86t3 1NSiuopvoenh9h5mbf7seol8rr9e0 12d0201  ,
