Name,Time,Post
Opus Technology Limited  , f7t526348tcu4S07po2n6iso39r83c5h10hed4gu8l  ,
Album Pohela Falgun 2022Opus Technology Limited added 8 new photos.  , f145 6348tcFeSb7porn6iso3ur83c5a10hed4ruyl  ,+442 42
Opus Technology Limited  , f3 5M6348tcayS 7po2n6iso39r83c5010hed42u1l  ,"Our director Bipasha Afrin has Successfully completed delivering customized coaching sessions as second part of the 3 months long United Nations project ""Digital Transformation Mentoring for Business Growth"". Mr. Saif Noman Khan, Associate Professor, IBA, DU  is the mentor of this program. We are giving our thanks to Mr. Saif for his outstanding delivery.      This project is commissioned by SheTrades Commonwealth under UN and WTO, Sponsored by VISA Global and exclusively ex… See more61 6135 comments"
"See all public posts for ""opus technology limited""", 22m4itt23 5cM10Sarc0hp87 a1iott8nst fo159r:2e4d2  ,POS lets you save time and make great sales while you are able to quickly attend your customers efficiently and fast while making time to attend more customers and improve customer satisfaction and reduce errors. Opus brings you state of the art POS system so that everything becomes smooth and easy for you to relax and let technology handle your sales. Visit our website and contact us for more information at  info@opus-bd.com… See more7 7
Opus Technology Limited  , 22m4itt21 5cM10Sarc0hp87 a1iott8nst fo250r:1e5d2  ,VAT Automation SystemOpus Technology Ltd is one of the few companies listed by the NBR to create VAT management software for companies in Bangladesh. VAT calculation is obviously one of the most important tasks of any company and it is very crucial for a company to precisely calculate the VAT at a specific period of time and we are more than happy to create the perfect VAT management software for you at your demand. Visit our website and contact us for more information at  … See 
Opus Technology Limited  , 12m4itt26 5cM10Sarc0hp87 a1iott8nst fo250r:0e0d2  ,"Inventory management practices can help you save money and keep an accurate stock count. However, you can see amazing benefits and efficiency when you add an ERP system with inventory management capabilities.Do visit our website and contact us for more information at info@opus-bd.comVisit us for more info: https://opus-bd.com/grow/8 8"
Opus Technology Limited  , 22m4itt24 5cM10Sarc0hp87 a1iott8nst fo155r:2e4d2  ,
Opus Technology Limited  , 14t9707 SuM9pohnamfr8sal0or7c0heg 6atd1 196:8926  ,Supply chain management is one of the most crucial part of a business operation and Opus Technology Ltd brings you complete solutions for digitalized supply chain management so that the day to day business operations become very smooth and easy. It is very efficient and will save a lot of your time.Visit us for more info: https://opus-bd.com/dostavi/Contact us: info@opus-bd.com11 11
Opus Technology Limited  , 26t9707 SuM9pohnamfr8sal0or7c0heg 6atd1 236:8945  ,
Opus Technology Limited  , 10697 155tc9S6hpomfF83anes67obr3geri8uaryhd  ,We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See mo
Opus Technology Limited  , 181 07D5ue9tSh2cef7m3ab6gepfonrs 620ore2d6009  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in I"
Opus Technology Limited  , 02t22f9lSpao8 ncasOcto99bcfe9ir1o3 r202e0dg  ,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 14"
Opus Technology Limited  , 02t22f9lSpao8 ncasOcto99bcfe9ir1o3 r202e0dg  ,Virtual meeting is going on at Japan IT Week Autumn 20
Opus Technology Limited  , g1t70S9pomn sMaoa7rg7ch9 rat i114:04t213l2e901d  ,
Opus Technology Limited  , 1012if FtmaeluSpo77bna9s7or19i0r037uaer3yd  ,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.c"
Opus Technology Limited  , 28 Ot61iichSpto8n08ob77ces6r o2r9021eadh0h97  ,Day 1 of Japan IT week 20207 7
Opus Technology Limited  , 28 Ot61iichSpto8n08ob77ces6r o2r9021eadh0h97  ,"We are participating in Japan IT Week , Autumn 2020. This is our onsite booth19 193 comments"
Opus Technology Limited  , 1l58t1S Dponu1s843eceorctmbe29er9i1u7 ud2h0200  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g"
Opus Technology Limited  , 1l58t1S Dponu1s843eceorctmbe29er9i1u7 ud2h0200  ,https://www.facebook.com/bwit.bd/videos/446313246372695/0:05 / 1:24:08BWIT - Bangladesh Women in Technology was 
Opus Technology Limited  , 518ftSp O0h2maoctobehhrntcs5 221or710e0d20h  ,OPUS TECHNOLOGY LTD is the next frontier of construction management soft
Opus Technology Limited  , 522ftSp O0h2maoctobehhrntcs5 221or710e0d20h  ,Opus Technology Ltd is a leading Software Development and IT consulting service provider globally.3 3
Opus Technology Limited  , 528fc tmtSp2maNcoo80hvemtmn5i2bsore1er 2d0201  ,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing Executiv
Opus Technology Limited posted a job.  , 59 ftSpFe0h2maobruarhhyntcs5 221or710e0d20h  ,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:05 / 1:
Opus Technology Limited  , 1u0 NgohthveSmup30onlsb47e1tr 22o07r2ue0408gd  ,We have experience in Artificial Intelligence4 4
Opus Technology Limited  , 20ui40 tSOcp9ftob3eor 2n4s09tohr162e17ug30d8  ,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 9"
Opus Technology Limited  , 30ui00 tSOcp9ftob3eor 2n4s09tohr162e17ug30d8  ,"Mr. Md. Rezaul Karim, Project Director, LICTMr. Sami Ahmed, Policy Advisor, LICT Visited Opus online booth at Japan IT Week 2020, Au"
Opus Technology Limited  , 1u0 NgohthveSmup30onlsb47e1tr 22o07r2ue0408gd  ,Business meeting at Africa Tech 20205 5
Opus Technology Limited  , 30 tOhtSpct3otgb03oheamnrsori 1edcim2hf0220  ,Opus online booth in Japan IT Week 2020 Autumn5 5
Opus Technology Limited  , 106t7 No1ltv5tSep3onambesi9orgre 2im021802d0i  ,Business Meeting in Africa 
Opus Technology Limited  , 30 tOhtSpct3otgb03oheamnrsori 1edcim2hf0220  ,Japan IT Week 2020 Autumn Online Fairhttps://japan-it-autumn.eventxtra.com/main-lobby5 5
Opus Technology Limited  , 1i065 htA1ug1Spguo3nhasmors9tied0 2i09hf221  ,
Opus Technology Limited  , 31tSap5 D1mecmleambeo0n0s2ofrr76 2t02te0df7l9  ,
Opus Technology Limited  , tlS217314fpo8mn1a scM0a8h0ofr3y6e td2t0m21  ,
Opus Technology Limited  , 25tSap5 D1mecmleambeo0n0s2ofrr76 2t02te0df7l9  ,
Opus Technology Limited  , 16tSap5 D1mecmleambeo0n0s2ofrr76 2t02te0df7l9  ,
Opus Technology Limited  , 21 tF1S9ilp9econbmrs0icucaoryr7 2f9f20eu21hdc  ,
Opus Technology Limited  , tSp1f1o Ml3aicyni 03c2c4ct7si0o8rf21ed1umh  ,
Opus Technology Limited  , 30 tD1S9ilp9econcmes0icmcboerr7 2f9f20eu21hdc  ,
Opus Technology Limited updated their profile picture.  , 30 tD1S9ilp9econcmes0icmcboerr7 2f9f20eu21hdc  ,
