Name,Time,Post
The New York Times   , 80ti10Scipuci3co8cc2nm61s19o3rfeh1a60huh5d  ,"The next wave of Covid-19 is coming. Are you ready?The culprit this time is BA.2, a subvariant of the Omicron variant. Nobody knows for sure how much havoc it will cause, but BA.2 is now the dominant strain in the United States and around the world. https://www.nytimes.com/.../well/live/ba2-omicron-covid.html5K 5K1.5K comments1.2K"
CGTN was live.  , China state-controlled media  ,"Today, I am announcing the launch of COVID.gov. A one-stop shop where anyone in America can find what they need to navigate the virus.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info24K 24K3.1K comments1.5K"
President Joe Biden   , 3110i1 3ciMtarch6S pa7otns4948oreg3d6 00h:iig139  ,"Today, the World Health Organization (WHO) and the European Union in the Pacific delivered life-saving equipment and supplies to Vanuatu , flown in with help from the World Food Programme. The equipment and supplies will help the country to expand #COVID19 testing and provide care for people with COVID-19.WHO and the #EU Delegation for the Pacific have been working closely with the #Vanuatu Ministry of Health in COVID-19 preparedness and response. The equipment and suppli… See more0:00 / 1:074K 4K126 comments166"
"See all public posts for ""covid-19""", 25f lM9artc35h6gtSp ao7lnso5t00r 1500i7:1h5ed0i  ,"Because of the strategy we executed over the past year on vaccinations, testing, treatments, and more, we are now in a new moment in this pandemic.That does not mean that COVID-19 is over.It means that COVID-19 no longer controls our lives.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info8K 8K1.8K comments189"
World Health Organization Western Pacific Region is in Vanuatu.  , China state-controlled media  ,Free vaccines and boosters. Free at-home tests. Free high-quality masks. The latest information about the level of COVID-19 spread in your community.It’s all at COVID.gov.0:05 / 0:12Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info7.4K 7.4K2.1K comments402
CGTN   , 30f lM9artc35h6gtSp ao7lnso5t00r 2500i3:1h5ed7i  ,"LIVE: CDC director testifies on next steps in combatting COVIThe Centers for Disease Control and Prevention Director Dr. Rochelle Walensky, U.S. Surgeon General Vivek Murthy and Assistant Health and Human Services Secretary for preparedness and response Dawn O'Connell testify at a House of Representatives Oversight Coronavirus Crisis Subcommittee hearing on 'Moving Beyond the Coronavirus Crisis: The Biden Administration's Progress in Combating the Pandemic and Plan for the … See more0:00 / 2:00:27Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info239 23967 comments58"
President Joe Biden   , 31f lM9artc35h6gtSp ao7lnso5t00r 0500i2:1h4ed6i  ,Kovid Kapoor's life will never be the same. Maybe a #HolidayWillHelp#LetsIndiGo #Aviation #Travel #COVID19 #Video #memes #Jokes #Haha #Fun #Travelmore #trending #Viral #Funny #vacation #vacationvibes #vacationmode #funnyvideos #fly #indigo #indigoairlines #kovid #internet #rona #google #search #name0:00 / 0:165.8K 5.8K64 comments44
President Joe Biden   , 3c1t 2M069aSrp1chm oatnfts7 68a0o0r1mmhth:194ed7  ,"Firdous is only 15 but she is wise beyond her years, “People tend to fear new things and to resist change,” she told us. She’s a hero who is tackling #COVID19 misinformation in her community. Here’s how: https://uni.cf/3uxFYBt UNICEF Pakistan14K 14K58 comments25"
Reuters was live.  , 2c4t 2M069aSrp1chm oatnfts7 68a1o6r1mmhth:094ed8  ,China is under Covid’s grip yet again. This time Shanghai restricted millions of citizens to their homes as the city underwent a lockdown. But the move has frustrated citizens who are unable to find food. #NewsMo #China #Covid19 #Lockdown #Pandemic #Shanghai0:05 / 2:09260 26033 comments115
ActiveIndiGo   , 2c6t 2M069aSrp1chm oatnfts7 68a1o4r1mmhth:194ed5  ,Tune in as I deliver remarks on the status of the country’s fight against COVID-19.0:00 / 11:58Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info4.6K 4.6K3.6K comments467
