Name,Time,Post
President Joe Biden   , 3fti1 SMpo13a3anrc0hms9o3mm atir0e 0f0:5l9dc8013  ,"Today, I am announcing the launch of COVID.gov. A one-stop shop where anyone in America can find what they need to navigate the virus.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info24K 24K3.1K comments1.5K sharesLikeCommentShare"
President Joe Biden   , 3fti0 SMpo13a3anrc0hms9o3mm atir0e 2f3:5l9dc8057  ,"Because of the strategy we executed over the past year on vaccinations, testing, treatments, and more, we are now in a new moment in this pandemic.That does not mean that COVID-19 is over.It means that COVID-19 no longer controls our lives.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info7.8K 7.8K1.8K comments184 sharesLikeCommentShare"
World Health Organization Western Pacific Region is in Vanuatu.  , 2fti5 SMpo13a3anrc0hms9o3mm atir0e 1f7:5l9dc8050  ,"Today, the World Health Organization (WHO) and the European Union in the Pacific delivered life-saving equipment and supplies to Vanuatu , flown in with help from the World Food Programme. The equipment and supplies will help the country to expand #COVID19 testing and provide care for people with COVID-19.WHO and the #EU Delegation for the Pacific have been working closely with the #Vanuatu Ministry of Health in COVID-19 preparedness and response. The equipment and suppli… See more0:05 / 1:073.9K 3.9K126 comments166 sharesLikeCommentShare"
"See all public posts for ""covid-19""", tSp31 30Muacrocnsh 8otiat 815311587r6:2e240mad8  ,"Takaaki Nakagami has tested positive for Covid-19 The LCR Honda Team rider will miss this weekend's #ArgentinaGP. Get well soon, Taka! #MotoGPmotogp.comNakagami to miss Grand Prix of Argentina with Covid-19The Japanese rider tested positive for the virus on Monday before travelling to Termas de Rio Hondo1.7K 1.7K106 comments37 sharesLikeCommentShare"
MotoGP   , tSp31 30Muacrocnsh 8otiat 815301527r6:2e246mad8  ,Free vaccines and boosters. Free at-home tests. Free high-quality masks. The latest information about the level of COVID-19 spread in your community.It’s all at COVID.gov.0:00 / 0:12Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info7.2K 7.2K2K comments390 sharesLikeCommentShare
President Joe Biden   , tSp31 30Muacrocnsh 8otiat 815301507r6:2e217mad8  ,"LIVE: CDC director testifies on next steps in combatting COVIThe Centers for Disease Control and Prevention Director Dr. Rochelle Walensky, U.S. Surgeon General Vivek Murthy and Assistant Health and Human Services Secretary for preparedness and response Dawn O'Connell testify at a House of Representatives Oversight Coronavirus Crisis Subcommittee hearing on 'Moving Beyond the Coronavirus Crisis: The Biden Administration's Progress in Combating the Pandemic and Plan for the … See more0:00 / 2:00:27Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info238 23867 comments57 sharesLikeShare"
Reuters was live.  , tSp30 30Muacrocnsh 8otiat 815321537r6:2e238mad8  ,Tune in as I deliver remarks on the status of the country’s fight against COVID-19.0:05 / 11:58Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info4.5K 4.5K3.6K comments464 sharesLikeCommentShare
President Joe Biden was live.  , China state-controlled media  ,Cleared and on his way! Takaaki Nakagami is IN for the #ArgentinaGP  #MotoGPmotogp.comNakagami fit for Argentina after negative Covid-19 testThe Japanese rider is expected to arrive in Termas de Rio Hondo in time to participate in the Argentina Grand Prix487 4877 comments2 sharesLikeCommentShare
"People's Daily, China   ", China state-controlled media  ,Kovid Kapoor's life will never be the same. Maybe a #HolidayWillHelp#LetsIndiGo #Aviation #Travel #COVID19 #Video #memes #Jokes #Haha #Fun #Travelmore #trending #Viral #Funny #vacation #vacationvibes #vacationmode #funnyvideos #fly #indigo #indigoairlines #kovid #internet #rona #google #search #name0:05 / 0:165.8K 5.8K65 comments44 sharesLikeCommentShare
CGTN   , 10m6at71241c16Stpoulacaunushaa25c6o9r677edc  ,How to protect yourself against #COVID19  #DoItAll27K 27K542 comments272 sharesLikeCommentShare
MotoGP   , 25m4tSpo10n Marclhul aat 1s4aa2o6r:e2670a4cda84h  ,"This is Dr. Lorna Breen. She was the Emergency Room Director at New York-Presbyterian Hospital. When the COVID-19 pandemic hit in 2020, Dr. Breen was on the frontlines treating COVID patients. She came down with the virus herself – and after taking minimal time to recover, she returned to work. She appeared withdrawn and her family encouraged her to come home, take a break, and seek mental health treatment. Tragically, she later died by suicide. Dr. Breen’s story is just o… See moreVisit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info44K 44K3.1K comments2.5K sharesLikeCommentShare"
IndiGo   , China state-controlled media  ,"The Enforcement Directorate is investigating the alleged violation of foreign funding rules by journalist #RanaAyyub while collecting donations for #COVID19 reliefndtv.comJournalist Rana Ayyub Stopped From Leaving India At Mumbai AirportJournalist Rana Ayyub was stopped from flying to London today as she is an accused in an alleged money laundering case, which is being investigated by the Enforcement Directorate.1.3K 1.3K242 comments40 sharesLikeCommentShare"
CGTN   , t2Sp13o3h Manta3rac7sh07f ta4t 18o8red3mli7:153  ,He’s back Takaaki Nakagami WILL race this weekend at the #ArgentinaGP #MotoGP1.8K 1.8K26 comments27 sharesLikeCommentShare
