Name,Time,Post
Album Pohela Falgun 2022Opus Technology Limited added 8 new photos.  , 18t14 9Sp5o9F01hnusehuob5fr17iu0iraerfd9ym  ,+442 421 shareLikeCommentShare
Opus Technology Limited  , 23t S9M9ag5mrp1chc hoatt0 n9soir119:gcf902e4ldt3  ,POS lets you save time and make great sales while you are able to quickly attend your customers efficiently and fast while making time to attend more customers and improve customer satisfaction and reduce errors. Opus brings you state of the art POS system so that everything becomes smooth and easy for you to relax and let technology handle your sales. Visit our website and contact us for more information at  info@opus-bd.com… See more7 71 shareLikeCommentShare
Opus Technology Limited  , 21t S9M9ag5mrp1chc hoatt0 n9soir120:gcf901e5ldt3  ,VAT Automation SystemOpus Technology Ltd is one of the few companies listed by the NBR to create VAT management software for companies in Bangladesh. VAT calculation is obviously one of the most important tasks of any company and it is very crucial for a company to precisely calculate the VAT at a specific period of time and we are more than happy to create the perfect VAT management software for you at your demand. Visit our website and contact us for more information at  … See more4 4LikeCommentShare
"See all public posts for ""opus technology limited""", 1tu392S46po uMfanr9chi2 9s0haor1et f2l30m:00idt  ,"Inventory management practices can help you save money and keep an accurate stock count. However, you can see amazing benefits and efficiency when you add an ERP system with inventory management capabilities.Do visit our website and contact us for more information at info@opus-bd.comVisit us for more info: https://opus-bd.com/grow/8 81 shareLikeCommentShare"
Opus Technology Limited  , 2tu392S44po uMfanr9chi2 9s0haor1et f1l35m:24idt  ,6 6LikeCommentShare
Opus Technology Limited  , 24t3Spl31i8ou fMay9u6 2i90fntso03red2l32m1  ,"Our director Bipasha Afrin has Successfully completed delivering customized coaching sessions as second part of the 3 months long United Nations project ""Digital Transformation Mentoring for Business Growth"". Mr. Saif Noman Khan, Associate Professor, IBA, DU  is the mentor of this program. We are giving our thanks to Mr. Saif for his outstanding delivery.      This project is commissioned by SheTrades Commonwealth under UN and WTO, Sponsored by VISA Global and exclusively ex… See more61 6135 comments1 shareLikeCommentShare"
Opus Technology Limited  , 1tu392S44po uMfanr9chi2 9s0haor1et f1l39m:26idt  ,Supply chain management is one of the most crucial part of a business operation and Opus Technology Ltd brings you complete solutions for digitalized supply chain management so that the day to day business operations become very smooth and easy. It is very efficient and will save a lot of your time.Visit us for more info: https://opus-bd.com/dostavi/Contact us: info@opus-bd.com11 111 shareLikeCommentShare
Opus Technology Limited  , tt1616 9FebS9proh84nsu23ou4r305ed6flaa03ry  ,We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See more15 15LikeCommentShare
Opus Technology Limited  , 2t1h6tS 901Mparchh84 1oa3tn4so0r086 ealh02d3:485  ,11 11LikeCommentShare
Opus Technology Limited  , 1t8hSu m90Depc8eahm4ocn2bs04er 52o1fl0re22di03  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)21 21LikeCommentShare"
Opus Technology Limited  , 1t1h7tS 901Mparchh84 1oa3tn4so0r086 ealh01d4:080  ,7 7LikeCommentShare
Opus Technology Limited  , 1t30393S p4i3F123ocetb0nso1r7ce0g5r4uadhr5y  ,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.com14 14LikeCommentShare"
Opus Technology Limited  , 2384t OcSp4ons1oct00t163rob1ec5edri44 202507  ,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 141 shareLikeCommentShare"
Opus Technology Limited  , 2384t OcSp4ons1oct00t163rob1ec5edri44 202507  ,Virtual meeting is going on at Japan IT Week Autumn 202038 38LikeCommentShare
Opus Technology Limited  , 2384t OcSp4ons1oct00t163rob1ec5edri44 202507  ,Day 1 of Japan IT week 20207 71 shareLikeCommentShare
Opus Technology Limited  , 1118 D8eucigtemS17pfbero0 h2ns0ol4r2320ed51la  ,https://www.facebook.com/bwit.bd/videos/446313246372695/0:00 / 1:24:08BWIT - Bangladesh Women in Technology was live.  
Opus Technology Limited  , 1118 D8eucigtemS17pfbero0 h2ns0ol4r2320ed51la  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g3xrj5 5LikeCommentShare"
Opus Technology Limited  , 1t9Shp785 Ooc42tob7nf7e1rmlhgs 2olre502d0501  ,OPUS TECHNOLOGY LTD is the next frontier of construction management software2 2LikeCommentShare
Opus Technology Limited  , 2t9Shp725 Ooc42tob7nf7e1rmlhgs 2olre502d0501  ,Opus Technology Ltd is a leading Software Development and IT consulting service provider globally.3 31 shareLikeCommentShare
Opus Technology Limited  , 2h8tS iO4pcot1o0lnbsoercmt mrua2u02e920d80m  ,"We are participating in Japan IT Week , Autumn 2020. This is our onsite booth19 193 comments1 shareLikeCommentShare"
Opus Technology Limited  , 9h tSFie4pbor1u0lnasorycmt mrua2u02e920d80m  ,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:00 / 1:5815 15LikeCommentShare
Opus Technology Limited  , 28h1tcm 24N3Sovp0loe4lnucms6mober r2a0202120ed  ,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing ExecutiveDhaka 
Opus Technology Limited posted a job.  , 3h0tS iO4pcot1o0lnbsoercmt mrua2u02e920d80m  ,"Mr. Md. Rezaul Karim, Project Director, LICTMr. Sami Ahmed, Policy Advisor, LICT Visited Opus online booth at Japan IT Week 2020, Autumn6 6LikeCommentShare"
Opus Technology Limited  , 24 Occ84tSto1pbtoenrs7o8r79l eh232d505g2040l  ,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 91 shareLikeCommentShare"
Opus Technology Limited  , 110ct0 NS2povoegmmb57hnl7slor0e3er i5g204207d  ,Business Meeting3 31 shareLikeCommentShare
Opus Technology Limited  , 110ct0 NS2povoegmmb57hnl7slor0e3er i5g204207d  ,Business meeting at Africa Tech 20205 51 shareLikeCommentShare
Opus Technology Limited  , 110ct0 NS2povoegmmb57hnl7slor0e3er i5g204207d  ,Business Meeting in Africa Tech5 5LikeCommentShare
Opus Technology Limited  , 1t5S3 A1p50ugo3uastns hh87hl0o210t2rhlge2d1  ,6 6LikeCommentShare
Opus Technology Limited  , 61t30Sp 1Ngocoan96vse0hm7berg gotri2lg020ed8m  ,We have experience in Artificial Intelligence4 41 shareLikeCommentShare
Opus Technology Limited  , 30 Ocit1o52b1t3Ser6upohn0 hl20isot2ihrgtged0  ,Opus online booth in Japan IT Week 2020 Autumn5 51 shareLikeCommentShare
Opus Technology Limited  , 1tfS33 1p50Mao3aay ns2hh87hl0o012t2rhlge1dh  ,4 4LikeCommentShare
Opus Technology Limited  , at30tlcS13 Declemponbe177frus c2o0l5re0d93a20  ,9 9LikeCommentShare
