date,Post,media,datetime,desc,link,img
6 hours ago,Climate Refugees Find Hope in Bangladesh Town,,2022-04-06 04:53:44.560969,bookmark_border,news.google.com/./articles/CBMiYGh0dHBzOi8vbGVhcm5pbmdlbmdsaXNoLnZvYW5ld3MuY29tL2EvY2xpbWF0ZS1yZWZ1Z2Vlcy1maW5kLWhvcGUtaW4tYmFuZ2xhZGVzaC10b3duLzY1MTQzOTMuaHRtbNIBYmh0dHBzOi8vbGVhcm5pbmdlbmdsaXNoLnZvYW5ld3MuY29tL2FtcC9jbGltYXRlLXJlZnVnZWVzLWZpbmQtaG9wZS1pbi1iYW5nbGFkZXNoLXRvd24vNjUxNDM5My5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/wcSnt99-fnm6kccgIekAgiOVqDoRvyzXfLe7mfaPDkRDCQ6HSuxyt5jHw0WPY7X-3zouigCQqdfHfkVa4sSuFEZ7ZK87lGJeOEmIAO0MfA7MDzJP_X43dl8B_S0x7PbI-JU1rjRv5S8HeVKleEvhbu0Dkjs=s0-w100-h100-dcgYGIqEDlciwK8EQ
Yesterday,The Importance of Strengthening US-Bangladesh Relations for the Future,,,bookmark_border,news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnVzY2hhbWJlci5jb20vaW50ZXJuYXRpb25hbC90aGUtaW1wb3J0YW5jZS1vZi1zdHJlbmd0aGVuaW5nLXVzLWJhbmdsYWRlc2gtcmVsYXRpb25zLWZvci10aGUtZnV0dXJl0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/TI7vJKprX4SmxCAM29y_DUk0OTLUVV193WnXl3Yyi7WUSwWVdoRoOajETAvvYg4vEOu7BN4FVJ-GLxPJE2FQl3XnP1RQBrqo87sAQvXB0CxYfyUPKB1ymErVjK_p=s0-w100-h100-dcAdCE6NUD
17 hours ago,South Africa keen to spin another win over Bangladesh in second test,,2022-04-05 17:53:44.562107,bookmark_border,news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2xpZmVzdHlsZS9zcG9ydHMvc291dGgtYWZyaWNhLWtlZW4tc3Bpbi1hbm90aGVyLXdpbi1vdmVyLWJhbmdsYWRlc2gtc2Vjb25kLXRlc3QtMjAyMi0wNC0wNS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/kRoaTUbFiyow1hqHz64msCehDUHzZUYPIwCEJtcjclAX0dv9miL9nmg5IQiqVn_m-Wc3DNEjgId8aEeZGLafwHVAdti2AIOsE2byLuNMYTz-H-auxD15c8dpGdJhn3yryFgxiVOOVkXFIvEK_5Ka4vYhKQCnvgA=s0-w100-h100-dcpSSK7JUK
2 days ago,Bangladesh: New Restrictions on Rohingya Camps,,2022-04-04 10:53:44.562668,bookmark_border,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDIyLzA0LzA0L2JhbmdsYWRlc2gtbmV3LXJlc3RyaWN0aW9ucy1yb2hpbmd5YS1jYW1wc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/SE245svcw68G8GTh0El_ZU9uuGpqVhpyVPnGEwTGXWQ31JleY5TuV0iPwbAuHxFY_7hyLveC5jwbYssWSWNfaCFgQflddYIV97aWi904khEKr96LIFB8tW5oLLo0XitRvnDHcr6fLVRbqUMKHtC1E7xPB5TuH8y059_XF9HGAJ-lStq9BTBOCSjH9U6EWDAP-PhWkxxDOFZD2YF5SZjD7QK2gZbwXz8eNbLu=s0-w100-h100-dcAXCKRS0l2OupoEU
19 hours ago,Q&A: The aid policy 'limbo' on Bangladesh's refugee island,,2022-04-05 15:53:44.563221,bookmark_border,news.google.com/./articles/CAIiEKjyHDaBBEgI_vsP9sH-j-AqGQgEKhAIACoHCAowveqPCzDFtKMDMOHasAY?uo=CAUibmh0dHBzOi8vd3d3LnRoZW5ld2h1bWFuaXRhcmlhbi5vcmcvaW50ZXJ2aWV3LzIwMjIvMDQvMDUvYWlkLXBvbGljeS1saW1iby1iYW5nbGFkZXNoLXJlZnVnZWUtaXNsYW5kLWJoYXNhbi1jaGFy0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ebNWZviRmdPJ_eS-0jS7fIxMM5Necpzw7z4uU39yfyFS9UnYxdtrRAdHvs9yAbWpJwugPPynojrKlrSGUuaipB_2IuwDAZ7uwu26vJotp8L_ux1ttS-KIleTPRlq93y12OK8kJZDGMgdUC-CqvWgoUa0KowhaUKL4lazTNkhgy3k_Q42lZ3YYlQam4T6nTITRkBohb9frHVNi3u3UEWT3pTtEfPFMZTL_2c9PtdnC4P5exLnQw=s0-w100-h100-dcgTGMKpoJ
5 days ago,Bangladesh's Balancing Act Amid the U.S. Indo-Pacific Strategy,,2022-04-01 10:53:44.563773,bookmark_border,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnVzaXAub3JnL3B1YmxpY2F0aW9ucy8yMDIyLzA0L2JhbmdsYWRlc2hzLWJhbGFuY2luZy1hY3QtYW1pZC11cy1pbmRvLXBhY2lmaWMtc3RyYXRlZ3nSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/xjP_ugxYh7EPrIp1OXMSjsPXNRERkxXEtFqCkLGW18aMXIRNSh9Y6mWaBSaDfkaPXMW9y3lyz5jOXXINmBcUovBBGWe1Muc9oBasPMU2GiLeydbRwBle2gJy0jmTIGnKEUA4sDKFaT2esbMyLASPbaENdlBt1ixZphSeDg77GjhyEGs0shMzb9So7pHkLexVqKntgykyOie04xRlxaXjdwKQAQ=s0-w100-h100-dcAWCIaTBluXEB
6 days ago,Bangladesh sentences four to death for killing blogger in 2015,,2022-03-31 10:53:44.564319,bookmark_border,news.google.com/./articles/CAIiEA2YvoP03S-5O_VB_3GSkPkqFQgEKgwIACoFCAowhgIwkDgwsPqTBw?uo=CAUiX2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIyLzMvMzEvYmFuZ2xhZGVzaC1zZW50ZW5jZXMtZm91ci10by1kZWF0aC1mb3ItMjAxNS1raWxsaW5nLW9m0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/0BTik1SWg48HDN76EPmYCR6ptz-kK47vJ9HJkHRydQWF58JobLtRyANcHk31WwXNAkgkB1MdbcuHQm6atBuEJ3nKtmdYnQFmFzsjoOUb0GUG8xSXor6jpWhu5mLx2m46oDJPbUd5TXbeVZ0yiqSptiZwThs=s0-w100-h100-dcASCKIqMoRfQA
2 days ago,Bangladesh: Constable who harassed woman professor for wearing bindi arrested,,2022-04-04 10:53:44.564863,bookmark_border,news.google.com/./articles/CAIiEL4zuw7j8kJcAvcmKntq_noqFggEKg4IACoGCAoww7k_MMevCDDl2wE?uo=CAUiiwFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vd29ybGQtbmV3cy9iYW5nbGFkZXNoLWNvbnN0YWJsZS13aG8taGFyYXNzZWQtd29tYW4tcHJvZmVzc29yLWZvci13ZWFyaW5nLWJpbmRpLWFycmVzdGVkLTEwMTY0OTA3ODI0Mjc4NC5odG1s0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/s_ZIigSkBnLNvG9uLRgNo2pRo_uLlPmp4XAvBHd6Vn7VXrjKe5YUr4Q8h-iRqAnspEovXqVuglFKJbObgj3pQoqVkIQdSUW3h7_qnVQyZjBngHnhZQ7XEkGaqdQLnai3A8Ves_89P6O6HIfoNn7qO7VaHs0T9aGTFiWu3fNQMFLsKHvPt-6gAJTkPmGUj23KRlFmCf9lEVzN=s0-w100-h100-dcjQKIaMED
14 hours ago,Don't evaluate Bangladesh by Sri Lanka model: planning minister,,2022-04-05 20:53:44.565415,bookmark_border,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3Lm5ld2FnZWJkLm5ldC9hcnRpY2xlLzE2NzMxOC9kb250LWV2YWx1YXRlLWJhbmdsYWRlc2gtYnktc3JpLWxhbmthLW1vZGVsLXBsYW5uaW5nLW1pbmlzdGVy0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/T08GIGsh69Vjxzq2Cj6KKkqH2FelL2DNNWDzB-DHCAMLEvBOUj_gm8GzImrumwiGGs37WR5sySaw8Smk-8f3RSebllWbKij1Mb2ooBAw02OJ3LSA2Z4TVQne8Q8=s0-w100-h100-dcpVaSDKYH
Yesterday,"Border guards go extra mile, help Bangladesh girls bid adieu to mother",,,bookmark_border,news.google.com/./articles/CBMijwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2tvbGthdGEvYm9yZGVyLWd1YXJkcy1nby1leHRyYS1taWxlLWhlbHAtYmFuZ2xhZGVzaC1naXJscy1iaWQtYWRpZXUtdG8tbW90aGVyL2FydGljbGVzaG93LzkwNjUzMzIxLmNtc9IBigFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9jaXR5L2tvbGthdGEvYm9yZGVyLWd1YXJkcy1nby1leHRyYS1taWxlLWhlbHAtYmFuZ2xhZGVzaC1naXJscy1iaWQtYWRpZXUtdG8tbW90aGVyL2FtcF9hcnRpY2xlc2hvdy85MDY1MzMyMS5jbXM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ka8ZSvEFHCqU9ocVt-dsQclQWUjvHPRWzyAUTNmjIlASb7AfPH6TNIe7G-eXVCiPcOK05DC-EPN2r52ZmtPjDtZxdHXZ7fDz1H4L0Y88dSHsenjrUtaYnBTru_mOm79vXYnYy_RVbXwNv9UHoNgIig=s0-w100-h100-dcGQKIDRUL
