Name,Time,Post
Album Pohela Falgun 2022Opus Technology Limited added 8 new photos.  , 14f 0t161S1ufuFp8hoeb5nsr4tui3oa5rryaeg4cd  ,+442 42
Opus Technology Limited  , 231 Marg6tchSpo n8ahsf575o4r8it2c fe1adg095:t24h  ,POS lets you save time and make great sales while you are able to quickly attend your customers efficiently and fast while making time to attend more customers and improve customer satisfaction and reduce errors. Opus brings you state of the art POS system so that everything becomes smooth and easy for you to relax and let technology handle your sales. Visit our website and contact us for more information at  info@opus-bd.com… See more7 7
Sheikh Sadi Tomal  , 6 fF0t161S1ufuep8hobr5ns14tui3oa5rryaeg4cd  ,OPUS family — at 90 ' s D
Skill Hunt  , 98mttS9p1l85 o0A47uigustnt 520s20h5orted21  ,Skill Hunt presents #Crazy_4#Artificial_Intelligence for allPre-register here- https://forms.gle/JG7xr9SCXZ3d9x188Event page- https://fb.me/e/HS0dgju4 … See more24 Shaon Sikder and 23 others3
"See all public posts for ""opus""", 98mttS3p1l85 o0M47aigy 2nt8502s20h5ortedm1  ,"Our director Bipasha Afrin has Successfully completed delivering customized coaching sessions as second part of the 3 months long United Nations project ""Digital Transformation Mentoring for Business Growth"". Mr. Saif Noman Khan, Associate Professor, IBA, DU  is the mentor of this program. We are giving our thanks to Mr. Saif for his outstanding delivery.      This project is commissioned by SheTrades Commonwealth under UN and WTO, Sponsored by VISA Global and exclusively ex… See more61 6135 comments"
Opus Technology Limited  , 1t18tSp8 D8egmcon05embe3rt85s99 o20rute2m50da  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in I"
Opus Technology Limited  , 24mt M3aSl05rp04oc5hn173s oa8t9 1hrg5tcem:2da4u  ,
Opus Technology Limited  , 98mttS1p1l55 o0A47uigustnt 520s20h5orted21  ,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 14"
Shaon Sikder  , 2ftS788p O10tcto2tnosbto4err2e0g0h c201720d  ,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:00 / 1:
Opus Technology Limited  , 9ftS7 8pFe10tbto2rnusato4rry2e0g0h c201720d  ,Thank you OPUS family — at 90 ' s D
Opus Technology Limited  , at61S 8pF5eob1rn21u1sota40rtrt0ethly40671d  ,
Sheikh Sadi Tomal  , aftSp3og1n 0Detc2emgbet3sr t2o0rth0c402edm01u  ,
Opus Technology Limited  , 1fllt 2M80iSpou0nsay0 12f010o8cr4e022fuhd1  ,
Opus Technology Limited  , 1fllt32 80iSpou0nsMay 12f010o8cr4e022fuhd1  ,0:00 / 2:1350 501 comment2
Opus Technology Limited  , 9fl 1Mt9aSipron02licht ast0or ef4901:f5hfd667  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g"
OPUS Inner Pleasure Rhodes was live.  , 1fl81 t9DSipeon02licetmbse0orref49 20f2hfd660  ,"Inventory management practices can help you save money and keep an accurate stock count. However, you can see amazing benefits and efficiency when you add an ERP system with inventory management capabilities.Do visit our website and contact us for more information at info@opus-bd.comVisit us for more info: https://opus-bd.com/grow/8 8"
Opus Technology Limited  , 1atg68f SpM691oanrucch asct 1a320o10umre:032f9d0  ,
Opus Technology Limited  , 2a5th8 SDe3c9pfaonuemhbe0r1 1a0g2s902morfe30d9  ,
Opus Technology Limited  , 2a1th8 SFe3b9pfaonuruhar0y1 1a0g2s902morfe31d9  ,
Opus Technology Limited  , 1tmmS5 Aicug3p895o9nus1st4 2fo0t72860re961d  ,Supply chain management is one of the most crucial part of a business operation and Opus Technology Ltd brings you complete solutions for digitalized supply chain management so that the day to day business operations become very smooth and easy. It is very efficient and will save a lot of your time.Visit us for more info: https://opus-bd.com/dostavi/Contact us: info@opus-bd.com11 11
Opus Technology Limited  , 1lm4tS mM1taproch59 uant7 01fslt9h:o227ref4614fd  ,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing Executiv
Opus Technology Limited  , 2tm801 iNto3vSp5eomuf8b74censltrh 6o27ref0d20  ,VAT Automation SystemOpus Technology Ltd is one of the few companies listed by the NBR to create VAT management software for companies in Bangladesh. VAT calculation is obviously one of the most important tasks of any company and it is very crucial for a company to precisely calculate the VAT at a specific period of time and we are more than happy to create the perfect VAT management software for you at your demand. Visit our website and contact us for more information at  … See 
Opus Technology Limited posted a job.  , 23111mt SpMai3ofrcn9s90fgh mato1i 28003:r1i0e5d  ,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 9"
Opus Technology Limited  , 2ct1041S8u0 7i3pfOtctoobegnrmsi7 2foreu02u0d  ,We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See mo
Opus Technology Limited  , ct118S0poif763 fFtns69efo1rebd71ir8u1ua8ry  ,#OPUS  #FASHION  #MAGAZINE                 In frame Beauty_Saha   … See more+613 132 comments10
Opus Technology Limited  , 23141mt SpMai3ofrcn9s90fgh mato1i 18083:r5i0e6d  ,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.c"
OPUS - The_Fabrication_Of_Art  , tSp55o0fnf1110 s7Fi6e1obtri4hre0ct4uahidry  ,Did someone say it is #nationalpuppyday because I used to love baby puppies but I have gotten tired of taking care of them because they are a lot of work because they want to eat all the time and they do not hear me when I say that I do not have the proper equipment to feed them with and that only their mom can feed them so please do not grab things on my belly because things on my belly are not loaded with milk!1.3K 1.3K65 comments24
Opus Technology Limited  , 2t3 5S0Marpch12 o7ains7t3tl 4201:ot4mrhe3107d903  ,Hello best friend Facebook friends this is your best friend Opus Maximus Regulus and today mom caught this picture of me and told me that she is on to me and that she will never buy me my favorite Kong babies again because now she knows that it is actually just the squeaker I love and NOT the actual baby because I pulled out the squeakers and was carrying them both around in my mouth and I just left the bear itself behind because I just want to squeak and kill the squeakers s… See more1.5K 1.5K102 comments21
Tesla and Opus: Off Leash  , 2t7 5S0Marpch12 o7ains7t3tl 4121:ot4mrhe0107d303  , groupAdopt an older dog.0:00 / 0:30Tesla and Opus: Off 
OPUS Inner Pleasure Rhodes is at OPUS Inner Pleasure Rhodes.  , 2130tS5if4c7 pMarocnhs ghiat1 g00o125r:ed4u6m4  ,I wish I was better with words so I could tell you about this wonderful goofball. One trip around the sun later and I couldn’t be happier. May we have many more67 676 c
Tesla and Opus: Off Leash  , t3Sf0p13 cMa7rons377chhhog a8r06th 114e:f5u617d  ,Sassy Sausage Sandwich.1.6K 1.6K41 comments30
Tesla and Opus: Off LeashLove Is A Dachshund  , 8130tS5if4c7 pMarocnhs ghiat1 g02o225r:ed5u0m4  ,We hopes our friends ins Ukraine and the surrounding areas ares safes. Violence is never the answer.... unless the question is squirrels. Our hearts ares with you all.4.1K 4.1K135 comments562
Tony Opus  , t3Sf0p26 cMa7rons377chhhog a8r06th 104e:f1u317d  ," groupChecks our my new foster sister, Periwinkle! Tonight she dogs through the toy box until she found a toy she likeds, then she realizeds it SQUEAKEDS. LOUDLYS.0:00 / 0:30Tesla and Opus: Off "
Tesla and Opus: Off Leash  , l3tt6g 0SMamrmpaoa2tc3nfh 1sat 2o3f:r09hhiead  ,
Tesla and Opus: Off Leash  , 2lttSpgg59a Moanr9cs0oh 19a7fltr8 h09e:0hhd6af11  ,"I knows we've beens quiets, but Mam is dealings with some regular health AND mental health stuffs right now and we takes that seriously arounds here. Mam's headaches haven't been respondings well this quarter and she founds out yesterday that her optic nerve is swollens again froms her brain condition... so she's restings a lot and we ares all guardings her. When her headaches comes, it messes with her mental health a lot and makes it hard for her to do her normal stuffs like… See more3K 3K550 comments38"
Tesla and Opus: Off LeashHarlso's VIP Fan Club  , 2lttSpgg59a Moanr9cs0oh 19a7fltr8 h15e:4hhd5af11  ,"I haves broughts these great minds together today to discuss an important topic: our pet peeves.Mine is clearlys my Mam because she is a pains ins my royal boohiney. Baths, kisses, hugs, she's so needy. First... I needs your tips for gettings her offs my back. … See more9 spotlighted comments •   2.9K 2.9K253 comments53"
Tesla and Opus: Off Leash added a new photo.  , 1lttSpgg89a Moanr9cs0oh 19a7fltr8 h21e:1hhd5af11  ,"Today is our 9 year Rescueversary, AKA, I've beens lendings out my Mam fors NINE years to other dogs.... and what did I gets? A BATH! Of all cruel, unusual punishments she could gives me....... takings aways my Junkyard Pirate smell is just the lowest. As you can sees from the picture, I'm mad, she gets a thumbs down, she DEFINITELY losts stars, and I'm totally goings to poops in her shoe. TESLA FEELS SO DISGUSTINGLY CLEAN! UGH!#rescueversary #NineLongYears #NoOneAskedMe … See more2.4K 2.4K174 comments37"
OPUS Inner Pleasure Rhodes is at OPUS Inner Pleasure Rhodes.  , 1tS77p 58Machm0rch aoant77s 82o112m:rm24e0i0d4i  ,
