date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:58:30+00:00,ridhimagupta86,Ridhima Gupta,"It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives, Nepal and Bangladesh… https://t.co/OfiExgC2UC",0,0,,"It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives, Nepal and Bangladesh… https://t.co/OfiExgC2UC"
2022-04-05 06:58:24+00:00,MohitJk_,Mohit Aggarwal,"It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives, Nepal and Bangladesh… https://t.co/0z9PaMVqmG",0,0,,"It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives, Nepal and Bangladesh… https://t.co/0z9PaMVqmG"
2022-04-05 06:58:17+00:00,PayalKulkarni12,Payal Kulkarni,"It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives, Nepal and Bangladesh… https://t.co/MoXkJJw17L",0,0,,"It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives, Nepal and Bangladesh… https://t.co/MoXkJJw17L"
2022-04-05 06:57:58+00:00,RupeshAbrol,Rupesh Abrol,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/m78815HMPI",0,0,,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/m78815HMPI"
2022-04-05 06:57:52+00:00,yaminisharma89,Yamini Sharma,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/0ITDDLkbr4",0,0,,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/0ITDDLkbr4"
2022-04-05 06:57:39+00:00,mengi_suresh,Suresh Mengi,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/Ql4NOPyNF4",0,0,,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/Ql4NOPyNF4"
2022-04-05 06:57:32+00:00,UmiRashid6,Umi Rashid,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/GO1ZDStXSd",0,0,,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/GO1ZDStXSd"
2022-04-05 06:57:25+00:00,supriya_sethi16,Supriya Sethi,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/MWwIY38j0g",0,0,,"Pakistan &amp; Sri Lanka face political turmoil fueled by Chinese debt

It is d unfolding crisis in Pak &amp; Sri Lanka whi… https://t.co/MWwIY38j0g"
2022-04-05 06:56:35+00:00,sonocomplicato,wally,@tanoslatt BTS = Bangladesh Toilet Service,0,1,"Oderzo, Veneto",@tanoslatt BTS = Bangladesh Toilet Service
2022-04-05 06:56:21+00:00,NEFNepal,Nepal Economic Forum,"#DidYouKnow #India scored 74.4 points, followed by #Maldives (73.8), #Pakistan (55.6), #Bangladesh (49.4) and… https://t.co/xXvovV4GjX",0,0,,"#DidYouKnow #India scored 74.4 points, followed by #Maldives (73.8), #Pakistan (55.6), #Bangladesh (49.4) and… https://t.co/xXvovV4GjX"
2022-04-05 06:56:09+00:00,joblessssssssss,SHIVAM,"In his 3rd ODI, he earned the Man of the Match award for a match winning knock of 71(89) against Bangladesh. Follow… https://t.co/1ufqcEylNE",0,1,Hell,"In his 3rd ODI, he earned the Man of the Match award for a match winning knock of 71(89) against Bangladesh. Follow… https://t.co/1ufqcEylNE"
2022-04-05 06:54:51+00:00,KavitaKeshrii,Kavita Keshri,"With the initiative of #BSF, the daughters living in #Bangladesh are lucky again to have the last darshan of the mo… https://t.co/TIWwtJDe7d",4,5,,"With the initiative of #BSF, the daughters living in #Bangladesh are lucky again to have the last darshan of the mo… https://t.co/TIWwtJDe7d"
2022-04-05 06:54:50+00:00,unbnewsroom,UNB - United News of Bangladesh,"RU prof murder: SC upholds death penalty of two  
#rajshahiunoversity  #professor  #bangladesh
https://t.co/PPtMTFXdkS",0,0,"Dhaka, Bangladesh","RU prof murder: SC upholds death penalty of two  
#rajshahiunoversity  #professor  #bangladesh
https://t.co/PPtMTFXdkS"
2022-04-05 06:54:28+00:00,cricketnext,CricketNext,"#SAvsBAN 

Maharaj took seven for 32 and Harmer claimed three for 21 as Bangladesh’s last seven wickets tumbled in… https://t.co/zUgx5SExiU",0,1,India,"#SAvsBAN 

Maharaj took seven for 32 and Harmer claimed three for 21 as Bangladesh’s last seven wickets tumbled in… https://t.co/zUgx5SExiU"
2022-04-05 06:54:21+00:00,Munazir43rd,Munazir Hussain Syed,How America Facilitated a Genocide in Bangladesh https://t.co/CTGqsITV2q,0,0,"Toronto, Ontario",How America Facilitated a Genocide in Bangladesh https://t.co/CTGqsITV2q
2022-04-05 06:54:14+00:00,MrezaRezam,mreza,"""Rana Das Gupta"" &amp; his GANG in #Bangladesh are mute over Muslim killing in #Rajasthan in #Ramadan 

They are not DE… https://t.co/bvlREwS3le",0,0,,"""Rana Das Gupta"" &amp; his GANG in #Bangladesh are mute over Muslim killing in #Rajasthan in #Ramadan 

They are not DE… https://t.co/bvlREwS3le"
2022-04-05 06:54:09+00:00,Brijesh68437460,Brijesh,"https://t.co/a9YQ0ctUQm

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/3QEileAmjD",0,0,,"https://t.co/a9YQ0ctUQm

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/3QEileAmjD"
2022-04-05 06:53:49+00:00,UNTechBank,UN Technology Bank for Least Developed Countries,"HE Mr Rahman shared #Bangladesh🇧🇩's success in leveraging #ICT for economic growth by:
👩🏽‍💻training high skills ICT… https://t.co/EiAXpS6nDh",0,1,"Gebze, Turkey","HE Mr Rahman shared #Bangladesh🇧🇩's success in leveraging #ICT for economic growth by:
👩🏽‍💻training high skills ICT… https://t.co/EiAXpS6nDh"
2022-04-05 06:53:23+00:00,joblessssssssss,SHIVAM,"Highlights of  Gautam Gambhir's career 👇
1. It was April, 2003. Cricket World Cup was just over. Sachin Tendulkar h… https://t.co/A21ktZGqS3",1,2,Hell,"Highlights of  Gautam Gambhir's career 👇
1. It was April, 2003. Cricket World Cup was just over. Sachin Tendulkar h… https://t.co/A21ktZGqS3"
2022-04-05 06:53:11+00:00,zamani_green,Zamani Isadoros Green,The Phillipines&gt;Bangladesh,0,0,"Bradenton, FL",The Phillipines&gt;Bangladesh
2022-04-05 06:53:05+00:00,SameerParanjap2,Sameer Paranjape,"@Umar__sofi Abe joker they are Muslims their are Bangladesh and other country why they coming to India, also crossi… https://t.co/HslRE7VVOi",0,0,"Indianapolis, IN","@Umar__sofi Abe joker they are Muslims their are Bangladesh and other country why they coming to India, also crossi… https://t.co/HslRE7VVOi"
