date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:59:22+00:00,ms_matko,Martin S. Matko,"@picardonhealth @IvanSemeniuk @globeandmail @GairdnerAwards Apparently!
'There is evidence to suggest COVID-19 impa… https://t.co/8X2QWnSsVS",0,0,"Victoria, British Columbia","@picardonhealth @IvanSemeniuk @globeandmail @GairdnerAwards Apparently!
'There is evidence to suggest COVID-19 impa… https://t.co/8X2QWnSsVS"
2022-04-05 06:59:17+00:00,9Pcadg,PCADG REGION 9,"COMELEC RESOLUTION NO. 10730
Section 40. Covid-19 Preventive Measures, Health and Safety Protocols.… https://t.co/fXnU0jZzqZ",1,1,,"COMELEC RESOLUTION NO. 10730
Section 40. Covid-19 Preventive Measures, Health and Safety Protocols.… https://t.co/fXnU0jZzqZ"
2022-04-05 06:59:09+00:00,FramatSafari,Framat Adventure & Safari,@donwinslow @WesternUnion After manage to cross from Covid-19 to an open world. We are inviting you to refresh your… https://t.co/elalkzdIfp,0,0,United Kingdom Head Office,@donwinslow @WesternUnion After manage to cross from Covid-19 to an open world. We are inviting you to refresh your… https://t.co/elalkzdIfp
2022-04-05 06:58:55+00:00,_wild_world,Wild World,"""Love Your Local"" community that is at risk of harm from Covid-19 and uphold their right to exist and enjoy life",0,0,Te Whanganui-a-Tara | Aotearoa,"""Love Your Local"" community that is at risk of harm from Covid-19 and uphold their right to exist and enjoy life"
2022-04-05 06:58:42+00:00,hyjohhny355,hyjohhny355,"@FoxNews @GOPChairwoman No matter what the Republicans party and parents say about Democrats.

Democrats is 💯 in th… https://t.co/LuvgTGdBPR",0,0,,"@FoxNews @GOPChairwoman No matter what the Republicans party and parents say about Democrats.

Democrats is 💯 in th… https://t.co/LuvgTGdBPR"
2022-04-05 06:58:35+00:00,YEDA0906,YEDA_VONG,The weather is very nice👍come out and do the COVID-19 test and then go have a cup of Luckin coffee😘 https://t.co/VRemc5Q3ef,0,0,,The weather is very nice👍come out and do the COVID-19 test and then go have a cup of Luckin coffee😘 https://t.co/VRemc5Q3ef
2022-04-05 06:58:31+00:00,brianbr97740273,brian brian Nabri,@SteveK_L_mayan @MaureenBuluma @Silvia_Wangeci @MaithaKarisa The Raila we knew could have not allowed the billions… https://t.co/ljVbjOjmzy,0,0,"Rongai, Nakuru",@SteveK_L_mayan @MaureenBuluma @Silvia_Wangeci @MaithaKarisa The Raila we knew could have not allowed the billions… https://t.co/ljVbjOjmzy
2022-04-05 06:58:28+00:00,SA_PhD,🇺🇦SA PhD,COVID-19: No end in sight for Shanghai lockdown as cases surge even higher | World News | Sky News https://t.co/Sk9i7W5sQd,0,0,England,COVID-19: No end in sight for Shanghai lockdown as cases surge even higher | World News | Sky News https://t.co/Sk9i7W5sQd
2022-04-05 06:58:18+00:00,Sid_Rooney,S_I_D_N_E_Y,"whatsoever might have Covid-19.
Now, also consider that from the 01st April the Government are phasing out free Lat… https://t.co/G5iDK4pNpa",0,0,N Ireland,"whatsoever might have Covid-19.
Now, also consider that from the 01st April the Government are phasing out free Lat… https://t.co/G5iDK4pNpa"
2022-04-05 06:58:17+00:00,BillKin36743521,Billyboy,@GBNEWS Oh is that like the covid-19 deaths? https://t.co/vNuW0mrpAz,0,0,,@GBNEWS Oh is that like the covid-19 deaths? https://t.co/vNuW0mrpAz
