date,Post,media,datetime,desc,link,img
21 hours ago,"West Bengal's Former Education Minister Named in Recruitment Irregularities, to Face CBI",,2022-05-18 01:43:11.511986,bookmark_border,news.google.com/./articles/CAIiEJsgXL5lI-7yLlEuosNox-UqGQgEKhAIACoHCAow5qqNCzD4q58DMKGR1gY?uo=CAUikAFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3MvZWR1Y2F0aW9uLWNhcmVlci93ZXN0LWJlbmdhbHMtZm9ybWVyLWVkdWNhdGlvbi1taW5pc3Rlci1uYW1lZC1pbi1yZWNydWl0bWVudC1pcnJlZ3VsYXJpdGllcy10by1mYWNlLWNiaS01MTk3MzM5Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/AMFvMhmhrLL2A_hQPHYL3JGJnaDqR9tndrgdXY2bWUBSnMGf-MvJ3Adw7BoaqJV6ynmr6Ewj48JnhVBRl5w8JYLjBe9eWx92_yUEN7rTolLBB07BtsZkbM-fnWa0HOjoYwwkIqQFdX_VTFQ=s0-w100-h100-dcAYCORLrmRO4B
5 days ago,Reaching Thomas Cup final equivalent to Indian team reaching 1983 Cricket World Cup final: Pullela Gopichand,,2022-05-13 22:43:11.511986,bookmark_border,news.google.com/./articles/CAIiEFlEtHZ0JsoGYz3vqqRLIvsqGQgEKhAIACoHCAowr6n9CjCr4PQCMJ242gU?uo=CAUiqgFodHRwczovL3d3dy50aW1lc25vd25ld3MuY29tL3Nwb3J0cy9iYWRtaW50b24vcmVhY2hpbmctdGhvbWFzLWN1cC1maW5hbC1lcXVpdmFsZW50LXRvLWluZGlhbi10ZWFtLXJlYWNoaW5nLTE5ODMtY3JpY2tldC13b3JsZC1jdXAtZmluYWwtcHVsbGVsYS1nb3BpY2hhbmQtYXJ0aWNsZS05MTU1Njc5NtIBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/aiUQC84GUbNI0OP7f49X_tQXU-HwHAFjs4f8FicVO7gVNcyajTY4kUdX3HdroOnX8FQeNX0QhoclEB8NY1WwHI6iCaE6NnWBXsWAFhEN0-JRovoPQy7KODDuxJK7W57K0THTR4L6C0ZR-w_sD2dtizg0JeDAY-_TGSFcqPdrOjE7PBg=s0-w100-h100-dcAUKSBaEI
6 days ago,"Find the right path to lead an inspired team, Ex CEO of BARC Partho Dasgupta throws light",,2022-05-12 22:43:11.511986,bookmark_border,news.google.com/./articles/CBMilAFodHRwczovL3d3dy5kZWNjYW5oZXJhbGQuY29tL2JyYW5kc3BvdC9wci1zcG90L2ZpbmQtdGhlLXJpZ2h0LXBhdGgtdG8tbGVhZC1hbi1pbnNwaXJlZC10ZWFtLWV4LWNlby1vZi1iYXJjLXBhcnRoby1kYXNndXB0YS10aHJvd3MtbGlnaHQtMTEwODAxOS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tJ97gGJpe7Bj-NoKLw1BtIF0tOqkc4eQoS_Ts9N2LsR0RI3AfH-u7nYtvtp72FmeY8Rp7O3hPPsn01igLXEIhiy5aoPMh4E09VKIheu3nhQyRA=s0-w100-h100-dcFViYiCYJ
5 days ago,"Find the right path to lead an inspired team, Ex CEO of BARC Partho Dasgupta throws light",Deccan Herald,2022-05-13 22:43:15.598169,"Change in the workplace tends to cause uncertainty, worry, and anxiety in 
both the personnel affected by the change and the executives who are 
implementing...",https://www.deccanherald.com/brandspot/pr-spot/find-the-right-path-to-lead-an-inspired-team-ex-ceo-of-barc-partho-dasgupta-throws-light-1108019.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3 weeks ago,"Outgrowth and ordeals of OTT landscape, BARC’s former CEO Partho Dasgupta elaborates",MyNation,2022-04-27 22:43:15.610169,"With a population of over 130 billion people, over 60 per cent of whom are 
under the age of 30, and entertainment options, India is a particularly 
appealing...",https://www.mynation.com/business/outgrowth-and-ordeals-of-ott-landscape-barc-s-former-ceo-partho-dasgupta-elaborates-ray445,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"ar 16, 2022",Leaked WhatsApp chats show how breaking every rule was the norm for ex BARC CEO,Exchange4media,,"The Republic-BARC link is no longer shrouded in mystery as WhatsApp chats 
between Arnab Goswami and the former BARC CEO Partho Dasgupta that were 
submitted...",https://www.exchange4media.com/media-tv-news/whatsapp-chats-show-how-bending-every-barc-rule-was-norm-for-partho-dasgupta-110313.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"ar 10, 2022",Partho Pratim Roy offered puja at Madan Mohan temple in Cooch Behar,Siliguri Times,,"Cooch Behar, 10th March: Partho Pratim Roy, the newly elected president of 
the District Trinamool Congress, offered puja with his family members at 
Madan...",https://siliguritimes.com/partho-pratim-roy-offered-puja-at-madan-mohan-temple-in-cooch-behar/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Feb 8, 2022",Pyar Mein Thoda Twist | Official Trailer | Mukesh J Bharti | Richa M | Partho Ghosh | Manju Bharti,YouTube,2022-02-08 00:00:00.000000,"PyarMeinThodaTwistOfficialTrailer #HindiMovies2022 #OfficialTrailer 
#NewHindiTrailer2022 #NewTrailer2022Movie : Pyar Mein Thoda TwistDirector : 
Partho Ghosh...",https://www.youtube.com/watch?v=CwnM0udH-Jc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"an 31, 2022","Actor Mukesh J Bharti and Director Partho Ghosh released the first look poster of Pyar Mein Thoda Twist, releasing on 18th February",ANI News,,"Mumbai (Maharashtra) [India], January 31 (ANI/PNN): Actor Mukesh J Bharti 
who was last seen in Mausam Ikrar Ke Do Pal Pyar Ke along with the director 
Partho...",https://www.aninews.in/news/business/business/actor-mukesh-j-bharti-and-director-partho-ghosh-released-the-first-look-poster-of-pyar-mein-thoda-twist-releasing-on-18th-february20220131170613,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Dec 31, 2021",A more dangerous variant can emerge at any moment: Noted scientist,The Week,2021-12-31 00:00:00.000000,"Prof Partho Sarothi Ray was one of the few scientists in the world who 
first educated the WHO about the character of Sars-Cov-2 when it hit Wuhan 
first.",https://www.theweek.in/news/india/2021/12/31/at-any-moment-another-variant-can-emerge-which-can-be-more-dangerous-prof-partho-sarothi-ray.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Dec 20, 2021","Meet Sheikh Maqsud Alam, a Muslim caretaker of Kolkata’s oldest Christian cemetery for 24 years and counting",TwoCircles.net,2021-12-20 00:00:00.000000,"Forty-seven-year old Sheikh Maqsud Alam is a caretaker of a Christian 
cemetery. He looks after the Barrackpore Cemetery, which is one of the 
oldest burial...",https://twocircles.net/2021dec20/444444.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
