date,Post,media,datetime,desc,link,img
7 hours ago,COVID-19 infections rising in Tennessee. Is a summer wave coming?,,2022-05-18 15:44:42.284915,bookmark_border,news.google.com/./articles/CAIiEDxoMHL3F5Deh720hAbr0_8qGQgEKhAIACoHCAow9vz_CjCgoIsDMP7z4gU?uo=CAUie2h0dHBzOi8vd3d3LnRlbm5lc3NlYW4uY29tL3N0b3J5L25ld3MvaGVhbHRoLzIwMjIvMDUvMTgvY292aWQtMTktaW5mZWN0aW9ucy1yaXNpbmctdGVubmVzc2VlLXN1bW1lci13YXZlLWNvbWluZy85ODI4Nzc3MDAyL9IBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/e_bzA23cXx-V5PCJDkeAIDX3Jm-Os2-m_aqqMsEzS-ozw4RQd18WtXUG2q8Z9B2xYojzWTgKdG5wte-RD35DHrlzJ8_xZ3hKKdmd3-rkEOpM-fftGB9W6rFVkeEDM-WiOrWF4e3vVnft4oc_wLxQssKuCfWa_LtD0IMDDXKRaOlHHjsNdn24TEi8OiZLeu4mNA=s0-w100-h100-dcHSaGK54I
18 hours ago,What to do if you test positive for Covid-19 now,,2022-05-18 04:44:42.284915,bookmark_border,news.google.com/./articles/CAIiEEj7rQd9owABJPPL85XKC0EqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?uo=CAUiXmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNS8xOC9oZWFsdGgvY29yb25hdmlydXMtb21pY3Jvbi1tYXNraW5nLXZhY2NpbmVzLXdlbGxuZXNzL2luZGV4Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/i3W_g2ZHc1p7NRbTgWsYcplqpnfEvbq-O6h45DH1kh7PMOy1UczwCo0QpcqeTxkTOneUA6i9yp05AdzYCIug2qB0ZuMbEm18C3BPXAKmQylkzN9off8OMga7k92U3bnvGiZjDjtbV8ofYecsWDNCxf_OEQldzwS0AEVtktuPilJv5hMgmNFA56vku1-mxu0mP2JspoZR0MbEEt3kVNmWfAfhJk4IitQQo9ee_ayK6N9_WWsInaiR1z9D6HdmImvhyDSybXQ=s0-w100-h100-dcFVOIrcEE
15 hours ago,Watch live: U.S. health officials hold Covid briefing as cases and hospitalizations soar again,,2022-05-18 07:44:42.285915,bookmark_border,news.google.com/./articles/CAIiEGDnGdD50eXCJYZnEdt5tHwqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ-thQY?uo=CAUigwFodHRwczovL3d3dy5jbmJjLmNvbS8yMDIyLzA1LzE4L3dhdGNoLWxpdmUtdXMtaGVhbHRoLW9mZmljaWFscy1ob2xkLWNvdmlkLWJyaWVmaW5nLWFzLWluZmVjdGlvbnMtYW5kLWhvc3BpdGFsaXphdGlvbnMtaW5jcmVhc2UuaHRtbNIBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/qhlwB5W8t7D67OIZPWlUSrG8yBwcvP_7nw15TpkaDfMESdmwteAaIccHWPwq-4FeH7gjAVy-ezENwHkA-u4=s0-w100-h100-p-df
8 hours ago,Vermont says goodbye to COVID dashboard,,2022-05-18 14:44:42.285915,bookmark_border,news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LndjYXguY29tLzIwMjIvMDUvMTgvdmVybW9udC1zYXlzLWdvb2RieWUtY292aWQtZGFzaGJvYXJkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/eXsDt-Ni2Ct4kU_xQYWcWSQZXKTYORMybUb4-w6Zhyu7SKD0bO9hLKXc7K8euIYVDVqSwb1hmj1FCNQ64-uzXAcoCDiY87HawtXIif0GYkDgW_z6l2FHXxn_M0nkVDXCreavNn7F3MksepS6lQffs2O50935iK5fD6Ld5bJjWb47p2ZBDEzjxvzYeZKgxuJLdqUZL9z5co5xtGW4FrQ9fcEwMFEL0WDlEDoVfmV67ObY4gr1Na8CCj8pZmjJSBLl4mPs1kCEt22EvGn5qZNhOkSctD9UYj70hNI6ialElFXrPg=s0-w100-h100-dcFWCMKa4G
11 hours ago,"Since You’re Already Getting a Flu Shot, Why Not One for Covid, Too?",,2022-05-18 11:44:42.285915,bookmark_border,news.google.com/./articles/CAIiEHjcHXexCewjV6aWYW0sa_AqFwgEKg8IACoHCAowjuuKAzCWrzwwxoIY?uo=CAUiSGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDUvMTgvaGVhbHRoL2NvdmlkLXZhY2NpbmUtZmx1LW9taWNyb24uaHRtbNIBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/vmpKJUU43yFfJ5gQD27RFw4Zjt0jTYloSPv9wiB2rVLS1Ww2c_qKrsOBs63ROiN9yGKEyiXhz6WAkAMu0-4x9TsjYvVDT7Yo5c8iBcK7eM0Bk-vlaBz131DqUjwS7aUqdKkkR48O43pbD4sYmppENYMhOi0w6iamJUKy5OQEDJcwPn0xaEDe=s0-w100-h100-dcDQGGMs1iNQcC
8 hours ago,Michigan COVID cases are on the rise: Is it time to mask up again?,,2022-05-18 14:44:42.285915,bookmark_border,news.google.com/./articles/CAIiEGVY3JjmQ-E154F71ipmvUwqGQgEKhAIACoHCAowztP-CjDSgfcCMLmz3gU?uo=CAUicmh0dHBzOi8vd3d3LmNsaWNrb25kZXRyb2l0LmNvbS9oZWFsdGgvMjAyMi8wNS8xOC9taWNoaWdhbi1jb3ZpZC1jYXNlcy1hcmUtb24tdGhlLXJpc2UtaXMtaXQtdGltZS10by1tYXNrLXVwLWFnYWluL9IBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ToEF-F42aLqSOSAZLjtq4U6r1pQCP-qlXN2SxjzM3xfjEd5jIZZPgzCJhNmqps3Tg5ZYXAUFq16kS8eE5a1OFQp4HzzgOHD_BKB12BufUCk5LXEUz_o3wdo4BoZ4gghI2n2vvZJrhTCV4HHIgVzm3bR9YUu-xiYHBiuKfwM=s0-w100-h100-dcjWGG9CSmsU4B
9 hours ago,Covid-19 Tracker: Out of control,,2022-05-18 13:44:42.286915,bookmark_border,news.google.com/./articles/CBMiMWh0dHBzOi8vbWlzc2lvbmxvY2FsLm9yZy8yMDIyLzA1LzUtMTgtMjItdHJhY2tlci_SATFodHRwczovL21pc3Npb25sb2NhbC5vcmcvMjAyMi8wNS81LTE4LTIyLXRyYWNrZXIv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tzCQ6ufNxyk8_JPELtopt9TV85vcNcjW4peTcm_l8_l5gzSoKT83b_Kn6WiL8sggkXwAf9IMYC4ZaybYe9zw-MjSL4ZKKwJi-F4ESx3Z8q4fec9vNQDriD58xV_zKQgk4oAkqhFSGIpdPK6liOW5beMXOri0zdpvgDQjTsrvp_MnisS6j0UiNcNSPiYxk_8mbM2xN4pOK2QOdX8lJHvFqFXfQGuvztk_NaDdzQ=s0-w100-h100-dcgQSszQUO
6 hours ago,New COVID-19 variants of concern found in Minnesota,,2022-05-18 16:44:42.286915,bookmark_border,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnN0YXJ0cmlidW5lLmNvbS9uZXctY292aWQtMTktdmFyaWFudHMtb2YtY29uY2Vybi1mb3VuZC1pbi1taW5uZXNvdGEvNjAwMTc0Mzc1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/6pmWptv4qgBDt2epSJ343tksqTea-UMyhAjP6dU97pbL5_Y6Fzb6cqawefE8oQ0VnPgVdjlCrAoa5PydqHFAyLRCMC3_SG-K_PP8UTzQbt6nJcE-lM2gB-qi3-6vpELmO7bX=s0-w100-h100-dchQaKBioF
12 hours ago,What COVID Hospitalization Numbers Are Missing,,2022-05-18 10:44:42.287915,bookmark_border,news.google.com/./articles/CAIiECqS0dGlO-KBryZaUfSPF7YqFggEKg0IACoGCAowm_EEMKAiMPvYzQY?uo=CAUiY2h0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS9oZWFsdGgvYXJjaGl2ZS8yMDIyLzA1L2hvc3BpdGFsaXphdGlvbi1jb3ZpZC1oZWFsdGhjYXJlLWJ1cm5vdXQvNjI5ODkyL9IBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/usOhmHnypR-_qV8PAbYIFrYVX_Zviyuy3ZctZJ1CHJRvoYWRS7HPTEZk2zrsAnLztriIQs91xoDIA2T-YTxoeIOa19JhuONSJ7PyyiqxiTtkzXkAuesVV75X1YslWVyd35REY5EdhEuoA73BTkaSogEsCfFEzm8cvyoIyCVjwzUXp--uTkybpBPpj7K8LjbXqFMnd66_oFq7HdSFP_YvLA=s0-w100-h100-dcEXOSMqkH
3 hours ago,Alaska reports more new COVID-19 cases among visitors as tourist season gets underway,,2022-05-18 19:44:42.287915,bookmark_border,news.google.com/./articles/CBMigQFodHRwczovL3d3dy5hZG4uY29tL2FsYXNrYS1uZXdzLzIwMjIvMDUvMTgvYWxhc2thLXJlcG9ydHMtbW9yZS1uZXctY292aWQtMTktY2FzZXMtYW1vbmctdmlzaXRvcnMtYXMtdG91cmlzdC1zZWFzb24tZ2V0cy11bmRlcndheS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/3MF5dxSHXvy1JPUu28up3uW7ebevXuzT0Zpf-cMPX2NMxVY2foqsb5HkCigaYVnrofsFvJYN-4eoY4IxP5ncaDM9xd5ymuH1bQhr3cI_JemUUjaBtqu4H3CaTDKQo2guURnxYvsWdmoImW_E-1Y4WN4JLg=s0-w100-h100-dcEXKMSC4H
