,Post,neg,neu,pos,compound
0,+441 41,0.0,1.0,0.0,0.0
1,,0.0,1.0,0.0,0.0
2,"Our director Bipasha Afrin has Successfully completed delivering customized coaching sessions as second part of the 3 months long United Nations project ""Digital Transformation Mentoring for Business Growth"". Mr. Saif Noman Khan, Associate Professor, IBA, DU  is the mentor of this program. We are giving our thanks to Mr. Saif for his outstanding delivery.      This project is commissioned by SheTrades Commonwealth under UN and WTO, Sponsored by VISA Global and exclusively ex… See more61 6135 comments",0.0,0.848,0.152,0.8316
3,Day 2 @ #JapanITWeek Autumn 2020   Our #tech companies are now exhibiting their latest technology solutions and interacting with the international buyers in Japan. It's been so far a good experience of #hybrid #exhibition (onsite + #virtual) #B2B … See more0:00 / 0:08+716 161 ,0.0,0.879,0.121,0.4404
4,We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See mo,0.026,0.681,0.293,0.9382
5,"Inventory management practices can help you save money and keep an accurate stock count. However, you can see amazing benefits and efficiency when you add an ERP system with inventory management capabilities.Do visit our website and contact us for more information at info@opus-bd.comVisit us for more info: https://opus-bd.com/grow/8 8",0.0,0.759,0.241,0.836
6,Business meeting at Africa Tech 20202 2,0.0,1.0,0.0,0.0
7,"Our Company “Opus Technology Limited” provides top ERP System “Opus ERP” an enterprise resource planning system for office and commercials. It refers about ERP software the systems and software packages used by organizations to manage day-to-day business activities, such Accounting, ProcurementWhy should use our “ABACUS” ERP System?• Saving Money• Improved Collaboration… See moreopus-bd.comOpus ERP - Opus Technology LimitedENTERPRISE RESOURCE PLANNING SYSTEM ERP System for Offices and Commercials Our Company “Opus Technology Limited” provides top ERP System “Opus ERP” an enterprise resource planning system for office and commercials. It refers about ERP software the systems and software packages used by organ",0.0,0.917,0.083,0.7003
8,Supply chain management is one of the most crucial part of a business operation and Opus Technology Ltd brings you complete solutions for digitalized supply chain management so that the day to day business operations become very smooth and easy. It is very efficient and will save a lot of your time.Visit us for more info: https://opus-bd.com/dostavi/Contact us: info@opus-bd.com11 11,0.0,0.906,0.094,0.4939
9,,0.0,1.0,0.0,0.0
10,,0.0,1.0,0.0,0.0
11,"We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See moreopus-bd.comGoldfish - Opus Technology LimitedGOLDFISH-HR & PAYROLLMANAGEMENT SYSTEM Our Company “Opus Technology Limited” provides best HR AND PAYROLL MANAGEMENT SYSTEM “GOLDFISH”. It is an Integrated, Flexible and Affordable Human Resources and Payroll Management System ideal for managing organization’s most valuable assets the “",0.015,0.707,0.278,0.9766
12,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in I",0.0,1.0,0.0,0.0
13,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 14",0.0,0.856,0.144,0.4019
14,১৯৫২ এর সকল ভাষা শহীদদের প্রতি রইলো আমাদের গভীর শ্রদ্ধা#InternationalMotherLanguageDaySee translati,0.0,1.0,0.0,0.0
15,,0.0,1.0,0.0,0.0
16,https://www.facebook.com/bwit.bd/videos/446313246372695/0:00 / 1:24:08BWIT - Bangladesh Women in Technology was ,0.0,0.0,0.0,0.0
17,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.c",0.0,0.861,0.139,0.6705
18,We have experience in Artificial Intelligence4 4,0.0,1.0,0.0,0.0
19,OPUS TECHNOLOGY LTD is the next frontier of construction management soft,0.0,1.0,0.0,0.0
20,Virtual meeting is going on at Japan IT Week Autumn 20,0.0,1.0,0.0,0.0
21,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:00 / 1:,0.0,0.488,0.512,0.6369
22,Day 1 of Japan IT week 20207 7,0.0,1.0,0.0,0.0
23,Business Meeting in Africa ,0.0,1.0,0.0,0.0
24,Business meeting at Africa Tech 20205 5,0.0,1.0,0.0,0.0
25,Business meeting at Africa Tech 20204 4,0.0,1.0,0.0,0.0
26,"We are participating in Japan IT Week , Autumn 2020. This is our onsite booth19 193 comments",0.0,1.0,0.0,0.0
27,Opus Technology Ltd is a leading Software Development and IT consulting service provider globally.3 3,0.0,1.0,0.0,0.0
28,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g",0.0,0.891,0.109,0.296
29,,0.0,1.0,0.0,0.0
30,,0.0,1.0,0.0,0.0
31,Business Meeting3 3,0.0,1.0,0.0,0.0
32,Opus online booth in Japan IT Week 2020 Autumn5 5,0.0,1.0,0.0,0.0
33,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing Executiv,0.0,0.847,0.153,0.4404
34,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 9",0.0,0.876,0.124,0.4019
35,,0.0,1.0,0.0,0.0
36,,0.0,1.0,0.0,0.0
37,,0.0,1.0,0.0,0.0
38,,0.0,1.0,0.0,0.0
39,Japan IT Week 2020 Autumn Online Fairhttps://japan-it-autumn.eventxtra.com/main-lobby5 5,0.0,0.685,0.315,0.3182
40,"Mr. Md. Rezaul Karim, Project Director, LICTMr. Sami Ahmed, Policy Advisor, LICT Visited Opus online booth at Japan IT Week 2020, Au",0.0,1.0,0.0,0.0
41,,0.0,1.0,0.0,0.0
