ID_Name,Pro_Posts
mosharrof.rubel,টিম Bright Skills পরিদর্শন করেছে Qtec Solution Limited 
mosharrof.rubel,Media365 Ltd is looking for 2+ Experienced Laravel Dev 
mosharrof.rubel,(ছবি তোলার সময় বাবুটা ফ্রেমে চলে আসছিলো)
mosharrof.rubel,আজকে কথা হলো ১৩ জনের সাথে! I knew this problem exists! বাকিদের সাথে কাল কথা হবে 
mosharrof.rubel,"আপনি যদি সিএসই ছাত্র/গ্রেড/চাকরি করেন, টেকনোলজি, ভাষা, কোম্পানির মধ্যে নির্বাচন করতে সমস্যা হয় - তাহলে আমি আপনাকে পরামর্শ দিয়ে সাহায্য করতে পারি। ম্রুবেলে আমা… See more"
mosharrof.rubel,শ্রীলঙ্কাকে ভালোবাসে মুশফিকুর রহিম শ্রীলঙ্কায় তার দ্বিতীয় বিয়ে করা উচিত
mosharrof.rubel,৭টি মেইল এবং ১২টি মেসেঞ্জার মেসেজ পেয়েছি। ১১ জনের সাথে উত্তর/কথা বলেছি! বাকিরা কাল 
mosharrof.rubel,"আপনি যদি সিএসই ছাত্র/গ্রেড/চাকরি করেন, টেকনোলজি, ভাষা, কোম্পানির মধ্যে নির্বাচন করতে সমস্যা হয় - তাহলে আমি আপনাকে পরামর্শ দিয়ে সাহায্য করতে পারি। ম্রুবেলে আমা… See more"
mosharrof.rubel,"আপনি যদি সিএসই ছাত্র/গ্রেড/চাকরি করেন, টেকনোলজি, ভাষা, কোম্পানির মধ্যে নির্বাচন করতে সমস্যা হয় - তাহলে আমি আপনাকে পরামর্শ দিয়ে সাহায্য করতে পারি। ম্রুবেলে আমাকে শুধু ইমেইল করুন। ad@gmail. কম অথবা আমাকে ইনবক্স করুন "
mosharrof.rubel,
mosharrof.rubel,"Looking for Software Development & UI+UX Design company to do your dream project? We, Qtec Solution Limited can provide fully managed software development team … See more"
mosharrof.rubel,
mosharrof.rubel,ফেসবুকের ইন্টারেকশনগুলো নিয়ে ভাবছিলাম কয়েকদিন ধরে 
mosharrof.rubel,Joss 
mosharrof.rubel,"আমার ফ্রেন্ড জাকির পদ্মা সেতুর দিকে তাকাইসিলো, পরে ২০ টাকা টোল দিয়ে বাসায় ফিরলো।"
mosharrof.rubel,Looking for an amazing 5Years+ Experienced PHP/Laravel Dev for a team leading position 
mosharrof.rubel,"ধরুন একটা লোক খারাপ। মানুষ ঠকায়, বাজে কাজ করে। কিন্তু আপনার সাথে সামহাউ সে খুব নাইস, ডিসেন্ট। "
mosharrof.rubel,
mosharrof.rubel,"লিংন্কড ইন এ একটা পোস্ট দেখেছিলাম। লোকাল কোম্পানি নিয়ে। লোকাল কোম্পানিতে উনাকে খাটিয়ে মারত ( কথাটা অনেক কোম্পানির জন্য সত্য), ছুটি নেই, এইচ আর নেই, বেতনের ঠিক ন… See more"
mosharrof.rubel,বাংলাদেশ থেকে বিদেশে মাইগ্রেট করানোর অনেক এজেন্সি আছে! দেশে রাখা বা ব্যাক করানোর কোন এজেন্সি নাই?  
mosharrof.rubel,না.. না.. লাল চা ছাড়া আমি কোন খাবারের সাথে ছবি তুলি না 
mosharrof.rubel,মেয়ে: তুমি আমার জন্য কি করতে পারো?আমি তোমার জন্য ওসামা হতে পারি 
mosharrof.rubel,আশঙ্কাজনক 
mosharrof.rubel,দেশের বাজারের ৫টি ব্রান্ড ও ২টি নন-ব্রান্ডের চিনিতে আশঙ্কাজনক মাত্রায় মাইক্রোপ্লাস্টিকের উপস্থিতি পেয়েছেন জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের একদল গবেষক।
mosharrof.rubel,সাহসী সিদ্ধান্ত 
mosharrof.rubel,Temp:
