date,Post,media,datetime,desc,link,img
7 hours ago,News Wrap: Omicron variant drives spike in U.S. COVID cases,,2022-05-18 16:00:36.567423,bookmark_border,news.google.com/./articles/CAIiEGvjW8DTz0oqG_nUhbDY_cEqGQgEKhAIACoHCAow6-PzCjD7sNQCMIbmlgY?uo=CAUiXmh0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvc2hvdy9uZXdzLXdyYXAtb21pY3Jvbi12YXJpYW50LWRyaXZlcy1zcGlrZS1pbi11LXMtY292aWQtMTktY2FzZXPSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/wWM4O_1IIDtdzjavx2Q4x_leZleOKsQHmg04OkdJGjNsSySiXUO6Sl7MbXdbm8NdDB_yjWgS4Kb6d54Dp3hW77QchOeqYb16NCEBdgEpHKScr7I9IGoCzC4k3A9LN89BzCISizjcKfg=s0-w100-h100-dciVGO0yinsWgC
7 hours ago,COVID-19 infections rising in Tennessee. Is a summer wave coming?,,2022-05-18 16:00:36.567423,bookmark_border,news.google.com/./articles/CAIiEDxoMHL3F5Deh720hAbr0_8qGQgEKhAIACoHCAow9vz_CjCgoIsDMP7z4gU?uo=CAUie2h0dHBzOi8vd3d3LnRlbm5lc3NlYW4uY29tL3N0b3J5L25ld3MvaGVhbHRoLzIwMjIvMDUvMTgvY292aWQtMTktaW5mZWN0aW9ucy1yaXNpbmctdGVubmVzc2VlLXN1bW1lci13YXZlLWNvbWluZy85ODI4Nzc3MDAyL9IBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/e_bzA23cXx-V5PCJDkeAIDX3Jm-Os2-m_aqqMsEzS-ozw4RQd18WtXUG2q8Z9B2xYojzWTgKdG5wte-RD35DHrlzJ8_xZ3hKKdmd3-rkEOpM-fftGB9W6rFVkeEDM-WiOrWF4e3vVnft4oc_wLxQssKuCfWa_LtD0IMDDXKRaOlHHjsNdn24TEi8OiZLeu4mNA=s0-w100-h100-dcHSaGK54I
12 hours ago,White House warns the US can't buy updated Covid-19 vaccines 'for every American who wants one' without more funding,,2022-05-18 11:00:36.567423,bookmark_border,news.google.com/./articles/CAIiED7Fg4mIOqBttcn9gqDDpH4qGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?uo=CAUiTGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNS8xOC9wb2xpdGljcy93aGl0ZS1ob3VzZS1jb3ZpZC13YXJuaW5nL2luZGV4Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/kJFnA3JLBBDxzd-Nx4Rd5TKWB8ZEc4a78OEObNXgqPAUa1tESxfjACBCjqHxwPS1_DQvJ0J4Rs5wazH0aXx54EeGenOISCOlGA3UNY7L8wQbDds9fp3tc9SgPSJFUzduvxiyGya8EGRfOh8dRLyOsr7BKzea8h0c-vd4v3xwjlENDs_laZ7A5hke0H6MIBvhDCa65HB-dks0EDE7Vwy0__7-CDKu5Pb9rsXyOWbKFNajKXQdO361X8YEBg=s0-w100-h100-dcpSaWDBoK
18 hours ago,What to do if you test positive for Covid-19 now,,2022-05-18 05:00:36.569423,bookmark_border,news.google.com/./articles/CAIiEEj7rQd9owABJPPL85XKC0EqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?uo=CAUiXmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNS8xOC9oZWFsdGgvY29yb25hdmlydXMtb21pY3Jvbi1tYXNraW5nLXZhY2NpbmVzLXdlbGxuZXNzL2luZGV4Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/i3W_g2ZHc1p7NRbTgWsYcplqpnfEvbq-O6h45DH1kh7PMOy1UczwCo0QpcqeTxkTOneUA6i9yp05AdzYCIug2qB0ZuMbEm18C3BPXAKmQylkzN9off8OMga7k92U3bnvGiZjDjtbV8ofYecsWDNCxf_OEQldzwS0AEVtktuPilJv5hMgmNFA56vku1-mxu0mP2JspoZR0MbEEt3kVNmWfAfhJk4IitQQo9ee_ayK6N9_WWsInaiR1z9D6HdmImvhyDSybXQ=s0-w100-h100-dcFVOIrcEE
6 hours ago,New COVID-19 variants of concern found in Minnesota,,2022-05-18 17:00:36.569423,bookmark_border,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnN0YXJ0cmlidW5lLmNvbS9uZXctY292aWQtMTktdmFyaWFudHMtb2YtY29uY2Vybi1mb3VuZC1pbi1taW5uZXNvdGEvNjAwMTc0Mzc1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/6pmWptv4qgBDt2epSJ343tksqTea-UMyhAjP6dU97pbL5_Y6Fzb6cqawefE8oQ0VnPgVdjlCrAoa5PydqHFAyLRCMC3_SG-K_PP8UTzQbt6nJcE-lM2gB-qi3-6vpELmO7bX=s0-w100-h100-dchQaKBioF
8 hours ago,"Arizona COVID-19 weekly update adds 7,204 cases, 29 deaths",,2022-05-18 15:00:36.569423,bookmark_border,news.google.com/./articles/CAIiEBwFX4-BkpmzLKHZzo_OrcIqGQgEKhAIACoHCAowtv3_CjCSposDMLX54gU?uo=CAUiigFodHRwczovL3d3dy5hemNlbnRyYWwuY29tL3N0b3J5L25ld3MvbG9jYWwvYXJpem9uYS1oZWFsdGgvMjAyMi8wNS8xOC9hcml6b25hLWNvdmlkLTE5LXdlZWtseS11cGRhdGUtYWRkcy03LTIwNC1jYXNlcy0yOS1kZWF0aHMvOTgxNDY3MTAwMi_SAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/rvhcIfzOxiCQ9Mql8VruJVilpTE-fDS5glcUUW-nwsYpMXVkidpqQu2pk1RyXTUX6roxaEwOKd-t5xWbRL9APrBREDEfHbr8hyYn0onW4xAP5pzg-ZzjmrNLBOl9fEdLeI1nOrZHShJn-xlCQ3coLD3dZqH_E0lE2tFnbiG3xxZ56Y5AIWuO=s0-w100-h100-dcsRSSkBUK
13 hours ago,OHSU coronavirus (COVID-19) response,,2022-05-18 10:00:36.570423,bookmark_border,news.google.com/./articles/CBMiTGh0dHBzOi8vbmV3cy5vaHN1LmVkdS8yMDIyLzA1LzE4L3ByZXBhcmluZy1mb3ItdGhlLW5vdmVsLWNvcm9uYXZpcnVzLWF0LW9oc3XSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/z9rcVumN7zC8YzELtomJpwItEHE0axLLwhh9dgdFb372x3mlKLUoQOs1r6queTf0MpQ42mVkz7scJ4YoVY464OqGbKEX61tAA_S3I2z2Lf-t5F5suleQFoPw9pjt9vPudrWqjZQbtJ4tX9UCyA=s0-w100-h100-dcgWGKKrHkue0B
5 hours ago,North Korea’s suspected COVID-19 caseload nears 2 million,,2022-05-18 18:00:36.570423,bookmark_border,news.google.com/./articles/CAIiEIhh69qTSIeXR_CVgRUL8dYqGQgEKhAIACoHCAowje6jCzDQ-LsDMI3LhQc?uo=CAUiX2h0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vYnVzaW5lc3Mvbm9ydGgta29yZWFzLXN1c3BlY3RlZC1jb3ZpZC0xOS1jYXNlbG9hZC1uZWFycy0yLW1pbGxpb24v0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/OyIg0QEtwRKd2T5wj05XsBms3813EXUIAY3CmvHy6zWOY6bp5WhldOPEzTbjPmUXGJGPiNNvtTgVCwVJlXcdIs--c805UiDbpJEc8aIyhYn6lcr-wCyUZ6rOD2lYnIYazMp0slfGo2ukzuaPS9HVXEm_sfkADNkUYlOj2Z2jOnQqrAO9aCdWvCXLVl3qa83qOEtVC-7CIAFn_2KttEpQj8Z_EcO3bLrzgyTg8-CeAoxozZl2-UTgVEeCWw=s0-w100-h100-dcgXCKhiwI
10 hours ago,COVID-19 in Wisconsin: 9.5 million COVID-19 vaccine “shots in the arm”,,2022-05-18 13:00:36.570423,bookmark_border,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LndiYXkuY29tLzIwMjIvMDUvMTgvY292aWQtMTktd2lzY29uc2luLTk1LW1pbGxpb24tY292aWQtMTktdmFjY2luZS1zaG90cy1hcm0v0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/z6BZMijLQHRnuDBLJeDD2IIzrJ-njzlSQWSmSjTKN4v7OOfRX7PLYby6Jno4EGuoP-ACOSpiWdjzGvAWGbclsw7PBj8_tpzycRe5cEB_x0OZ17a5yC3BBzfJcP5kAnBTVelwzUkl9pjuUoWusO3B3xdj20otsGh_CR7WK3tGx4QllldqMcArlxylpKt9hl0gNB5Rh8FqoqL7nYYjJ1Gw0QuszbBctx6uQ1VeMZDtm7pPpSD-1gPNpzI86ozOiERQcYoNRc01hLEpkaU1mjSHNg7VV_kjjmGYS6xDwMB9JtYAqQ=s0-w100-h100-dcgWGKEK0E
10 hours ago,"Nearly every state expected to see increase in COVID-19 hospitalizations, forecast shows",,2022-05-18 13:00:36.570423,bookmark_border,news.google.com/./articles/CBMicGh0dHBzOi8vYWJjbmV3cy5nby5jb20vSGVhbHRoL3N0YXRlLWV4cGVjdGVkLWluY3JlYXNlLWNvdmlkLTE5LWhvc3BpdGFsaXphdGlvbnMtZm9yZWNhc3Qtc2hvd3Mvc3Rvcnk_aWQ9ODQ4MDc5ODbSAXRodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9IZWFsdGgvc3RhdGUtZXhwZWN0ZWQtaW5jcmVhc2UtY292aWQtMTktaG9zcGl0YWxpemF0aW9ucy1mb3JlY2FzdC1zaG93cy9zdG9yeT9pZD04NDgwNzk4Ng?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/zqMcvfXVL2AoNXB6SIWb9jBWyfza4DBXV80gjwpy3JH6_T8G85DXqDTYyzoz3X1CLWPzYNMaPHxg2x7Wx9DMFoxgjBEKHSm0NJe9i2upefMza586e7QuRcqe4UWZYc8--MJRqUn5PRCI0k5zPCvN4UAr5fgdDbHikzgfpXA=s0-w100-h100-dcDQKSh4rrPEcC
