,Post,neg,neu,pos,compound
0,County see two more COVID-19 deaths | Coronavirus | myleaderpaper.com,0.328,0.672,0.0,-0.5994
1,"Polk County hospitals limit capacity amid COVID, staff shortages",0.0,1.0,0.0,0.0
2,Inslee contracts COVID-19 as Washington health officials again encourage masking indoors,0.0,1.0,0.0,0.0
3,Rise in COVID-19 cases has health leaders urging masking,0.0,1.0,0.0,0.0
4,"COVID-19 cases rising in Arizona, still well below pandemic highs",0.0,0.792,0.208,0.2732
5,"Mass. reports 3,084 new COVID-19 cases, 12 new deaths",0.302,0.698,0.0,-0.5994
6,"San Diego Unified School District postpones student COVID-19 vaccination mandate again, at least to July 2023",0.0,1.0,0.0,0.0
7,"Michigan adds 25,968 cases, 139 deaths from COVID-19",0.328,0.672,0.0,-0.5994
8,"COVID-19: Local cases, hospitalizations continue to increase",0.0,1.0,0.0,0.0
9,"Steroids and COVID-19: Risks, Interactions, Prevention, and More",0.292,0.556,0.153,-0.25
10,Covid-19 Tracker: No end in sight?,0.0,1.0,0.0,0.0
11,Coronavirus Disease (COVID-19): Weekly Epidemiological Update (25 May 2022) - World,0.0,1.0,0.0,0.0
12,"COVID-19 hospitalizations rising among older Alaskans, health officials say",0.0,1.0,0.0,0.0
13,"Nation's latest COVID-19 wave largely hidden from view, health experts say",0.0,1.0,0.0,0.0
14,"COVID-19 cases climbing here, but how high? | News, Sports, Jobs",0.0,1.0,0.0,0.0
15,$39.2 million approved for local COVID-19 resiliency projects,0.0,1.0,0.0,0.0
16,Monkeypox isn't like COVID-19 — and that's a good thing,0.0,0.426,0.574,0.6597
17,If You Have COVID-19: Advice from the Cambridge Public Health Department,0.0,1.0,0.0,0.0
18,"Monkeypox does not pose a Covid-style risk despite its swift spread, top health execs say",0.134,0.637,0.229,0.128
19,Global COVID-19 cases start to drop again,0.296,0.704,0.0,-0.2732
20,Effectiveness of Homologous and Heterologous Covid-19 Boosters against Omicron | NEJM,0.0,1.0,0.0,0.0
21,"Post–COVID Conditions Among Adult COVID-19 Survivors Aged 18–64 and ≥65 Years — United States, March 2020–November 2021 | MMWR",0.0,0.884,0.116,0.3612
22,"Gov. Justice issues statement, postpones COVID-19 briefing until next week",0.0,1.0,0.0,0.0
23,"COVID-19, shootings: Is mass death now tolerated in America?",0.558,0.442,0.0,-0.743
24,Mayor Victorino asks for “respectful masking” as COVID-19 case counts rise,0.0,0.744,0.256,0.4767
25,KDHE announces free COVID-19 tests for vulnerable communities,0.0,0.68,0.32,0.5106
26,Thurston County confirms 807 COVID-19 cases last week as omicron continues to spread,0.0,1.0,0.0,0.0
27,NEW: COVID-19 cases up 40% in a week in Clark County; viral DNA in wastewater rising,0.0,1.0,0.0,0.0
28,Repurposed antibiotic may help treat COVID-19,0.0,0.481,0.519,0.6597
29,2021 French Open champ Krejcikova says she has COVID-19,0.0,0.693,0.307,0.4767
30,Seen and unseen effects of COVID-19 school disruptions,0.0,1.0,0.0,0.0
31,Minnesota Twins place star rookie pitcher Joe Ryan on COVID-19 injured list,0.0,1.0,0.0,0.0
32,"Here is the weekly state update on COVID-19 numbers for Wednesday, May 25",0.0,0.86,0.14,0.0772
