title,link,channel,views,time_published,snippet,verified_badge,extensions,file_path
Q .3 Opus Tech. OF INTERNATIONAL FINANCIAL MANAGEMENT (SM CA FINAL SFM),https://www.youtube.com/watch?v=H-Rcq7B4zPw,"{'channel_name': 'PAVAN SIR SFM CLASSES', 'channel_link': 'https://www.youtube.com/c/CAPAVANKARMELE'}",10K views,2 years ago,CHAPTER-WISE CLASSES AVAILABLE https://www.pavansirsfmclasses.com/,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus technologies ltd | International Financial Management | CA Final | Sfm | Pratik Jagati,https://www.youtube.com/watch?v=iDrsp0xx4oc,"{'channel_name': 'Final Kick By CA Pratik Jagati', 'channel_link': 'https://www.youtube.com/c/FinalKickByCAPratikJagati'}",8.1K views,11 months ago,Website https://pratikjagati.com/ Android Mobile App Jagati Digital Education (play store) ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Customer Service and Culture,https://www.youtube.com/watch?v=v1TXdBIwwJY,"{'channel_name': 'Opus Technology', 'channel_link': 'https://www.youtube.com/c/Opus-telecomsCoUk'}",177 views,2 years ago,"Group Operations Director Chris Terry, Sales Director Michael O'Donnell and Service Delivery Manager Georgina McKenna ...",,,26_05_2022-03_07_37-opus technology-partho.csv
বাংলাদেশের সম্ভাবনাময় ৭টি আইটি ফার্ম | Future of IT Firms in Bangladesh,https://www.youtube.com/watch?v=ALlm5Wl8mfs,"{'channel_name': 'Business Inspection BD', 'channel_link': 'https://www.youtube.com/c/BusinessInspectionBD'}",183K views,2 years ago,Bangladesh's tech industry is growing everyday. Considerable achievements in the IT sector have already been made over ...,True,4K,26_05_2022-03_07_37-opus technology-partho.csv
gold fish (HRM)by Opus Technology Ltd.,https://www.youtube.com/watch?v=qBDnC6wb2Tc,"{'channel_name': 'Sakib Ahmed', 'channel_link': 'https://www.youtube.com/channel/UCrfFkW1KlNKFhtzK3pPfr8g'}",24 views,2 years ago,Created using Powtoon -- Free sign up at http://www.powtoon.com/youtube/ -- Create animated videos and animated ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Incredible Giant Octopus Fishing - How Japan Chef Cutting Giant Octopus And Octopus Processing,https://www.youtube.com/watch?v=TLDHIHan8uY,"{'channel_name': 'Noal Farm', 'channel_link': 'https://www.youtube.com/c/NoalFarm2020'}",5.7M views,1 year ago,"Way Fishermen Catch Giant Octopus in Japan Sea - Giant Octopus Processing Skills to make sashimi If you are the owner, send ...",,,26_05_2022-03_07_37-opus technology-partho.csv
ASUS Spends the MOST in Research and Development | Computex 2019 | PCB BD,https://www.youtube.com/watch?v=Doga4JvxAp8,"{'channel_name': 'PC Builder Bangladesh', 'channel_link': 'https://www.youtube.com/c/PCBuilderBangladesh'}",4.2K views,2 years ago,It is a little bit too late but during Computex 2019 team PC Builder Bangladesh had the chance to interview Rukshan Jayawardena ...,True,,26_05_2022-03_07_37-opus technology-partho.csv
স্যামসাং কত বড় | How Big is Samsung?,https://www.youtube.com/watch?v=Fv72YIcLnzk,"{'channel_name': 'Business Inspection BD', 'channel_link': 'https://www.youtube.com/c/BusinessInspectionBD'}",208K views,2 years ago,"Samsung is known especially for its electronic products made by their Samsung Electronics division. But, did you know that ...",True,4K,26_05_2022-03_07_37-opus technology-partho.csv
নোকিয়া - উত্থান ও পতন । Rise & Fall of Nokia,https://www.youtube.com/watch?v=JwN4-ebQRMM,"{'channel_name': 'Business Inspection BD', 'channel_link': 'https://www.youtube.com/c/BusinessInspectionBD'}",107K views,2 years ago,নোকিয়ার উত্থান-পতন । Rise and Fall of Nokia Nokia is the first brand that was in the market when we heard of ...,True,4K,26_05_2022-03_07_37-opus technology-partho.csv
Empowering ONE with Opus Technologies,https://www.youtube.com/watch?v=B8kpKYzoTYw,"{'channel_name': 'CyberLogitec', 'channel_link': 'https://www.youtube.com/c/CyberLogitec'}",1.1K views,3 years ago,Large shipping organisation like Ocean Network Express (ONE) engages with CyberLogitec to help them manage their daily ...,,,26_05_2022-03_07_37-opus technology-partho.csv
