title,link,channel,views,time_published,snippet,verified_badge,extensions,file_path
INNA x Sean Paul - Up (Official Video),https://www.youtube.com/watch?v=8Fl6d_fSRNs,"{'channel_name': 'INNA', 'channel_link': 'https://www.youtube.com/channel/UCr8RbU-D7iSvpy0ZO-AasoQ'}",51M views,5 months ago,"▫ Credits: Lyrics: Minelli, Sean Paul Music: Minelli, Sebastian Barac, Marcel Botezan, Elena Alexandra Apostoleanu, Alex Cotoi, ...",True,4K,26_05_2022-03_10_39-shaonthe super star-partho.csv
"Crush vs. Shawn Michaels - June 13, 1993",https://www.youtube.com/watch?v=lIm-CHQ32Rc,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",1.4M views,10 years ago,WWE Intercontinental Championship Match: Shawn Michaels with bodyguard Diesel defends against the big Kona Crush at King ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
FULL MATCH - 2008 Royal Rumble Match: Royal Rumble 2008,https://www.youtube.com/watch?v=nm6uB6tJqXU,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",61M views,2 years ago,"Madison Square Garden hosts an unforgettable Royal Rumble Match featuring The Undertaker, Shawn Michaels, Triple H, Batista ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Career Making Kicks - WWE Top 10,https://www.youtube.com/watch?v=E9qORW9sBWk,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",7.2M views,8 years ago,Shawn Michaels returns at Hell in a Cell as the special referee for the WWE Championship Match. Relive his top 10 defining ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Masters of the superkick - WWE Top 10,https://www.youtube.com/watch?v=qTWVQrR8r-A,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",5.3M views,5 years ago,Which Superstar's arsenal includes the sweetest superkick of them all? Find out now as WWE Top 10 reveals which grapplers ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Sun Zara /Tujhe Bhula Diya Song | T-Series Mixtape | Shaan | Shruti Pathak | Bhushan Kumar,https://www.youtube.com/watch?v=e6qgIAuLFz4,"{'channel_name': 'T-Series', 'channel_link': 'https://www.youtube.com/aashiqui2'}",17M views,4 years ago,We have a wonderful rendition of popular Hindi Bollywood songs Sun Zara and Tujhe Bhula Diyan the T-Series Mixtape series by ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Queen - Don't Stop Me Now (Official Video),https://www.youtube.com/watch?v=HgzGwKwLmgM,"{'channel_name': 'Queen Official', 'channel_link': 'https://www.youtube.com/channel/UCiMhD4jzUqG-IgPzUmmytRQ'}",764M views,13 years ago,"Taken from Jazz, 1978 and Greatest Video Hits 1. Click here to buy the DVD with this video at the Official Queen Store: ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
FULL-LENGTH MATCH - Raw - Batista vs. Shawn Michaels - Lumberjack Match,https://www.youtube.com/watch?v=6BiwNtQmIWI,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",13M views,8 years ago,"Oct. 13, 2008 - Chris Jericho picks the opponent for Batista and the type of match The Animal must compete in.",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Raw: Shawn Michaels returns to Raw,https://www.youtube.com/watch?v=R3DnNV6oieE,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",4.7M views,11 years ago,Raw: Shawn Michaels returns to Raw.,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Hall of Fame: Shawn Michaels speaks at the WWE Hall of Fame,https://www.youtube.com/watch?v=eR6o6QT_DhU,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",1.5M views,11 years ago,Hall of Fame: Shawn Michaels speaks at the WWE Hall of Fame Class of 2011 induction ceremony.,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
