title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
SPIDER-MAN: NO WAY HOME - Official Trailer (HD),https://www.youtube.com/watch?v=JfVOs4VSpmA,"{'channel_name': 'Sony Pictures Entertainment', 'channel_link': 'https://www.youtube.com/c/sonypictures'}",75M views,6 months ago,"We started getting visitors… from every universe. Watch the official trailer for #SpiderManNoWayHome, exclusively in movie ...",True,,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home (2021) Explained In Bangla / MCU Movie 27 Explained In Bangla,https://www.youtube.com/watch?v=FkaOGq05P8s,"{'channel_name': 'The BongWood', 'channel_link': 'https://www.youtube.com/c/TheBongWood'}",427K views,1 month ago,In this video i am Explained Spider-Man: No Way Home movie in Bangla. হেই বন্ধুরা আজ আমি আমি হাজির ...,True,,Spider-Man: No Way Home (2021) Explained In Bangla / MCU Movie 27 Explained In Bangla,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home | Full Movie (English),https://www.youtube.com/watch?v=S8ZUtWTuHT4,"{'channel_name': 'FullHDvideos4me', 'channel_link': 'https://www.youtube.com/user/FullHDvideos4me'}",6.6M views,3 months ago,"Thank you so much for watching our new full fan movie! We hope you enjoyed it, and please make sure you like, comment, share ...",True,4K,Spider-Man: No Way Home | Full Movie (English),26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home Movie explanation In Bangla Movie review In Bangla | Random Video Channel,https://www.youtube.com/watch?v=3l6NHicesHE,"{'channel_name': 'Random Video Channel', 'channel_link': 'https://www.youtube.com/c/RandomVideoChannel420'}",999K views,4 months ago,korean movie korean #drama kdrama chinesedrama movieexplainedinhindi koreandramaexplainedinhindi Movies Insight Hindi ...,True,,Spider-Man: No Way Home Movie explanation In Bangla Movie review In Bangla | Random Video Channel,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),https://www.youtube.com/watch?v=rt-2cxAiPJk,"{'channel_name': 'Sony Pictures Entertainment', 'channel_link': 'https://www.youtube.com/c/sonypictures'}",83M views,9 months ago,"What just happened? Watch the official teaser trailer for #SpiderManNoWayHome, exclusively in movie theaters December 17.",True,,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Funny Dubbing Movie Recap | ARtStory,https://www.youtube.com/watch?v=yD5qSLH24aM,"{'channel_name': 'ARtStory', 'channel_link': 'https://www.youtube.com/c/ARtStory88'}",243K views,2 months ago,SPIDER-MAN: NO WAY HOME - Funny Dubbing Movie Recap | ARtStory #spiderman #nowayhome #artstory ...,True,,SPIDER-MAN: NO WAY HOME - Funny Dubbing Movie Recap | ARtStory,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home (2021) Movie Explained in Bangla | Mcu Marvel Superheroes,https://www.youtube.com/watch?v=6acQmkGe7Z0,"{'channel_name': 'cineseries central', 'channel_link': 'https://www.youtube.com/c/cineseriescentral'}",118K views,2 months ago,Spider-Man: No Way Home best marvel superhero movie explain in bangla Topic Covered in Video: Spider Man No Way Home ...,True,,Spider-Man: No Way Home (2021) Movie Explained in Bangla | Mcu Marvel Superheroes,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Official Trailer,https://www.youtube.com/watch?v=ZYzbalQ6Lg8,"{'channel_name': 'Marvel Entertainment', 'channel_link': 'https://www.youtube.com/c/marvel'}",40M views,6 months ago,"We started getting visitors… from every universe. Watch the official trailer for #SpiderManNoWayHome, exclusively in movie ...",True,,SPIDER-MAN: NO WAY HOME - Official Trailer,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Dr. Strange Vs Spiderman Fight Scene In Hindi | Spiderman No Way Home | Hd Clip | Action Shorts |,https://www.youtube.com/watch?v=t28Gjy_NgvU,"{'channel_name': '𝐀𝐜𝐭𝐢𝐨𝐧 𝐒𝐡𝐨𝐫𝐭𝐬', 'channel_link': 'https://www.youtube.com/channel/UC1qCN6v1f7KUTVH9KVjqcKw'}",107K views,1 month ago,Movie Credits - Marvel Studios/Sony Movie Name - Spiderman No Way Home #spiderman #spidermannowayhome ...,True,4K,Dr. Strange Vs Spiderman Fight Scene In Hindi | Spiderman No Way Home | Hd Clip | Action Shorts |,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man No Way Home In The Spider-Verse | Funny Spider Slack TikTok Compilation 2022,https://www.youtube.com/watch?v=DSxmymI0BDE,"{'channel_name': 'TikHQ', 'channel_link': 'https://www.youtube.com/channel/UC2fIPrC_IsHkA_cG-agHo3w'}",7.3M views,3 months ago,Funny Spider Slack TikTok Compilation 2022 #11 ▷ Watch more of Spider_Slack here: ...,,,Spider-Man No Way Home In The Spider-Verse | Funny Spider Slack TikTok Compilation 2022,26_05_2022-12_20_01-Spiderman no way home-partho.csv
