title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
পদ্মা সেতু নির্মাণের পিছনের ইতিহাস... | Padma Bridge | Mosiur Rahman | Somoy News,https://www.youtube.com/watch?v=NlFTzf5ggeA,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",9.3K views,7 hours ago,Padma_Bridge #Mosiur_Rahman #SomoyTV আরও বিস্তারিত জানতে ভিজিট করুন: ...,True,New,পদ্মা সেতু নির্মাণের পিছনের ইতিহাস... | Padma Bridge | Mosiur Rahman | Somoy News,27_05_2022-21_10_53-Padma Bridge-partho.csv
সেতু খুলে দেয়ার তারিখ ঘোষণায় পদ্মাপাড়ে উচ্ছ্বাস ! | Padma Bridge Update | Padma Setu | Somoy TV,https://www.youtube.com/watch?v=b27O5QY9pzk,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",148K views,3 days ago,padmabridge #padmabridgeopening #padmabridgelatestupdate #padmasetu #sheikhhasina #obaidulquader ...,True,New,সেতু খুলে দেয়ার তারিখ ঘোষণায় পদ্মাপাড়ে উচ্ছ্বাস ! | Padma Bridge Update | Padma Setu | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতু হলে পায়রা থেকে ১৩০০ মেগাওয়াট বিদ্যুৎ ঢাকায় আসবে || Padma Bridge | Electricity,https://www.youtube.com/watch?v=QOT_wVESRos,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",68K views,14 hours ago,পদ্মা সেতু অর্থনীতিতে গতি আনার সঙ্গে বিদ্যুৎ সঞ্চালনও সহজ করবে।,True,New,পদ্মা সেতু হলে পায়রা থেকে ১৩০০ মেগাওয়াট বিদ্যুৎ ঢাকায় আসবে || Padma Bridge | Electricity,27_05_2022-21_10_53-Padma Bridge-partho.csv
২৫ জুন পদ্মা সেতু উদ্বোধন করবেন প্রধানমন্ত্রী | Padma Bridge | Somoy TV,https://www.youtube.com/watch?v=PG6zuI7RQpw,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",56K views,3 days ago,padmabridge #padmasetu #somoytv #somoynews আরও বিস্তারিত জানতে ভিজিট করুন: ...,True,New,২৫ জুন পদ্মা সেতু উদ্বোধন করবেন প্রধানমন্ত্রী | Padma Bridge | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
বিএনপিও দাওয়াত পাবে উদ্বোধনী অনুষ্ঠানে- জানালেন ওবায়দুল কাদের || Obaidul Quader | Padma Bridge,https://www.youtube.com/watch?v=iYLw_fELgRU,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",17K views,3 days ago,আগামী ২৫ জুন পদ্মা সেতুর উদ্বোধন করবেন প্রধানমন্ত্রী শেখ হাসিনা।,True,New,বিএনপিও দাওয়াত পাবে উদ্বোধনী অনুষ্ঠানে- জানালেন ওবায়দুল কাদের || Obaidul Quader | Padma Bridge,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মার টোল তুলে 'নতুন প্রকল্প' করতে চায় সরকার!| Padma Bridge Update | Somoy News Analysis | Somoy TV,https://www.youtube.com/watch?v=1wtasj_YUlc,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",214K views,10 days ago,PadmaBridge #PadmaBridgeToll #PadmaToll #PadmaBridgeUpdate #Padma #SomoyNewsAnalysis #NewsAnalysis ...,True,,পদ্মার টোল তুলে 'নতুন প্রকল্প' করতে চায় সরকার!| Padma Bridge Update | Somoy News Analysis | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতু প্রকল্পকে ঘিরে শরীয়তপুরের জাজিরা পেয়েছে ভিন্নরূপ | Padma Bridge | Shariatpur | Somoy TV,https://www.youtube.com/watch?v=ah3fxgjeLLQ,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",49K views,2 days ago,PadmaBridge #Shariatpur #SomoyTV আরও বিস্তারিত জানতে ভিজিট করুন: https://www.somoynews.tv ...,True,New,পদ্মা সেতু প্রকল্পকে ঘিরে শরীয়তপুরের জাজিরা পেয়েছে ভিন্নরূপ | Padma Bridge | Shariatpur | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
রোড মার্কিং ও সাইন ওয়ার্কের ট্রায়াল সফল! | Padma Multipurpose Bridge | Padma River | Munshiganj News,https://www.youtube.com/watch?v=_Hr8dDLWAl8,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",316K views,4 weeks ago,PadmaMultipurposeBridge #PadmaRiver #Padma #MunshiganjNews #SomoyTV জাজিরা প্রান্তের ...,True,,রোড মার্কিং ও সাইন ওয়ার্কের ট্রায়াল সফল! | Padma Multipurpose Bridge | Padma River | Munshiganj News,27_05_2022-21_10_53-Padma Bridge-partho.csv
পূর্ণাঙ্গ রূপ পেলো পদ্মা সেতুর সড়কপথ! | Road Marking | Padma Bridge Update |Setu Carpeting |Somoy TV,https://www.youtube.com/watch?v=dk_cV0PH1II,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",1.2M views,4 days ago,PadmaBridge_RoadMarking #RoadMarking #Setu_Carpeting #PadmaBridgeUpdate #Padma #SomoyNews #SomoyTV ...,True,New,পূর্ণাঙ্গ রূপ পেলো পদ্মা সেতুর সড়কপথ! | Road Marking | Padma Bridge Update |Setu Carpeting |Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
২১ জেলার ভাগ্য বদলে দিচ্ছে পদ্মা সেতু | Padma Bridge | Zajira Point | Somoy TV,https://www.youtube.com/watch?v=nzvq82pdu1A,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",540K views,2 days ago,padmabridge #zajirapoint #somoytv আরও বিস্তারিত জানতে ভিজিট করুন: https://www.somoynews.tv Fair ...,True,New,২১ জেলার ভাগ্য বদলে দিচ্ছে পদ্মা সেতু | Padma Bridge | Zajira Point | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
