title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
বাংলাদেশে কেমন নির্বাচন চায় ইউরোপীয় ইউনিয়ন? || EU | BD Election,https://www.youtube.com/watch?v=TPnOcx3keMw,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",208K views,6 months ago,"বাংলাদেশের আগামী সংসদ নির্বাচন অবাধ, সুষ্ঠু ও নিরপেক্ষ হবে বলে আশা ...",True,,বাংলাদেশে কেমন নির্বাচন চায় ইউরোপীয় ইউনিয়ন? || EU | BD Election,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
সংবাদ সম্মেলনে কী বার্তা দিলেন শেখ হাসিনা? | PM Sheikh Hasina | Election Bangladesh | Somoy TV,https://www.youtube.com/watch?v=NWXoYXo81cs,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",17K views,7 months ago,PMSheikhHasina #ElectionBangladesh #SomoyTV আরও বিস্তারিত জানতে ভিজিট করুন: ...,True,,সংবাদ সম্মেলনে কী বার্তা দিলেন শেখ হাসিনা? | PM Sheikh Hasina | Election Bangladesh | Somoy TV,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
"""২০২৩ নির্বাচন গ্রহণযোগ্য না হলে সমস্যায় পড়তে পারে বাংলাদেশ"" | British Commissioner",https://www.youtube.com/watch?v=yfkLcHapIfU,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",950K views,3 months ago,২০২৩ এর নির্বাচন গ্রহণযোগ্য না হলে বিদেশি বিনিয়োগসহ নানা ...,True,,"""২০২৩ নির্বাচন গ্রহণযোগ্য না হলে সমস্যায় পড়তে পারে বাংলাদেশ"" | British Commissioner",28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
৪৭ বছরে বাংলাদেশে নির্বাচনের ইতিহাস || Bangladesh Election History,https://www.youtube.com/watch?v=peGY8C6Fqcs,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",22K views,3 years ago,৪৫ বছর পর দলীয় সরকারের অধীনে ভোটে আসছে দেশের সব রাজনৈতিক দল। সেনা ...,True,,৪৭ বছরে বাংলাদেশে নির্বাচনের ইতিহাস || Bangladesh Election History,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh Election Results: Sheikh Hasina इस बार ऐसे जीतीं कि Khalida Zia की पार्टी लगभग खत्म,https://www.youtube.com/watch?v=VPVu0Jl8-hw,"{'channel_name': 'The Lallantop', 'channel_link': 'https://www.youtube.com/c/TheLallantop'}",32K views,3 years ago,Results of the election held in Bangladesh on Sunday were out. Present PM Sheikh Hasina has secured a fourth term with a ...,True,,Bangladesh Election Results: Sheikh Hasina इस बार ऐसे जीतीं कि Khalida Zia की पार्टी लगभग खत्म,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Anu Muhammad on 11th National Elections in Bangladesh,https://www.youtube.com/watch?v=40sw_JxbXeE,"{'channel_name': 'Shahidul Alam', 'channel_link': 'https://www.youtube.com/user/shahidul1'}",1.6K views,3 years ago,One of the leading public intellectuals of Bangladesh talks about his concerns regarding the 11th National Elections.,,4K,Anu Muhammad on 11th National Elections in Bangladesh,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
BANGLADESH: EVE OF HIGHLY DISPUTED NATIONAL ELECTIONS,https://www.youtube.com/watch?v=XeSzFDoZ8Ak,"{'channel_name': 'AP Archive', 'channel_link': 'https://www.youtube.com/c/APArchive'}",22K views,6 years ago,"(14 Feb 1996) Eng/Bengali/Natsound In Bangladesh, the army has been called out to patrol the streets of the capital, Dhaka, on ...",True,,BANGLADESH: EVE OF HIGHLY DISPUTED NATIONAL ELECTIONS,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
The United States will not take sides in the next Bangladesh election ।Bangladesh_USA । 2022,https://www.youtube.com/watch?v=G42sSRJDhSw,"{'channel_name': 'World Alorito Khabor', 'channel_link': 'https://www.youtube.com/c/WorldAloritoKhabor'}",383 views,1 month ago,The United States will not take sides in the next Bangladesh election।Bangladesh_USA।,,,The United States will not take sides in the next Bangladesh election ।Bangladesh_USA । 2022,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh election: Do reports of vote rigging threaten Hasani victory? | DW News,https://www.youtube.com/watch?v=fUKlFJYJ-ng,"{'channel_name': 'DW News', 'channel_link': 'https://www.youtube.com/c/dwnews'}",58K views,3 years ago,Bangladesh's Prime Minister Sheikh Hasina secured a third consecutive term after a landslide victory in the country's general ...,True,,Bangladesh election: Do reports of vote rigging threaten Hasani victory? | DW News,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Prime Minister Sheikh Hasina won Bangladesh’s national election this week - will Bangladesh accept?,https://www.youtube.com/watch?v=njU9gXR4K7c,"{'channel_name': 'Naya Daur TV', 'channel_link': 'https://www.youtube.com/c/NayaDaurPk'}",50 views,3 years ago,Prime Minister Sheikh Hasina won Bangladesh's national election this week. But the opposition claimed that the elections were ...,True,,Prime Minister Sheikh Hasina won Bangladesh’s national election this week - will Bangladesh accept?,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh to have Next Election without Caretaker Government ??,https://www.youtube.com/watch?v=TvnUoOyFIzI,"{'channel_name': 'WhereIsTheLove', 'channel_link': 'https://www.youtube.com/user/foreverjajabor'}",479 views,10 years ago,,,,Bangladesh to have Next Election without Caretaker Government ??,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Top Breaking:-BNP final speech for National Election || জাতীয় নির্বাচনে বিএনপির সিদ্ধান্ত | Bd news,https://www.youtube.com/watch?v=ey4Ok2cB99M,"{'channel_name': 'farazi tv', 'channel_link': 'https://www.youtube.com/channel/UCFZXfa0rCey2IkWooOXTtQw'}",2.4K views,3 days ago,farazi_tv #bbc_bangla #bangladesh আজকের টপ ব্রেকিং নিউজ @farazi tv #bbc_bangla #bangladesh #bd_news ...,,New,Top Breaking:-BNP final speech for National Election || জাতীয় নির্বাচনে বিএনপির সিদ্ধান্ত | Bd news,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
১৩ বার জয়ী রিয়াল মাদ্রিদের মুখোমুখি ৬ বারের চ্যাম্পিয়ন লিভারপুল || #UCL Final 2022,https://www.youtube.com/watch?v=lQq10REJnhE,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",5.6K views,2 hours ago,Welcome to the official Independent Television YouTube channel. Independent Television is a 24/7 news oriented satellite ...,True,New,১৩ বার জয়ী রিয়াল মাদ্রিদের মুখোমুখি ৬ বারের চ্যাম্পিয়ন লিভারপুল || #UCL Final 2022,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
BOSS | বস | Eid Natok 2022| Mosharraf Karim | Mousumi Mou | Imraul Rafat | Bangla Natok 2022,https://www.youtube.com/watch?v=XZgQ0izSSUw,"{'channel_name': 'CMV', 'channel_link': 'https://www.youtube.com/c/CMVBD'}",1.6M views,2 weeks ago,"Presenting Eid Ul Fitr Drama of Imraul Rafat's “Boss”, Script written by Emel Haque, Directed by Imraul Rafat, Starring Mosharraf ...",True,4K,BOSS | বস | Eid Natok 2022| Mosharraf Karim | Mousumi Mou | Imraul Rafat | Bangla Natok 2022,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
ঢাবি’তে ভয়াবহ হামলার মূল কারণ জানালেন ভিপি নুর | Update News | Changetv.press,https://www.youtube.com/watch?v=lcEgjWT7ErM,"{'channel_name': 'Changetv.press', 'channel_link': 'https://www.youtube.com/c/Changetvpress'}",12K views,15 hours ago,ঢাবি'তে ভয়াবহ হামলার মূল কারণ জানালেন ভিপি নুর | Update News | Changetv.,True,New,ঢাবি’তে ভয়াবহ হামলার মূল কারণ জানালেন ভিপি নুর | Update News | Changetv.press,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
এখনই আলোচনায় জাতীয় নির্বাচন; ছক কি পাল্টাবে? কী হবে সমীকরণ? | Election Politics,https://www.youtube.com/watch?v=ErCzhEKkwZA,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",93K views,1 month ago,এবার নির্বাচনের অনেক আগেই আলোচনায় 'জাতীয় নির্বাচন'। বিএনপি'র ...,True,,এখনই আলোচনায় জাতীয় নির্বাচন; ছক কি পাল্টাবে? কী হবে সমীকরণ? | Election Politics,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Pakistan Reaction on Bangladesh National Election 2018 - Awami League - Sheikh Hasina,https://www.youtube.com/watch?v=2iL8TtRnYhg,"{'channel_name': 'Election Box', 'channel_link': 'https://www.youtube.com/c/ElectionBox'}",7.7K views,3 years ago,Pakistan Reaction on Bangladesh National Election 2018 - Awami League - Sheikh Hasina. General elections were held in ...,True,,Pakistan Reaction on Bangladesh National Election 2018 - Awami League - Sheikh Hasina,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh - Protests Against PM Khaleda Zia,https://www.youtube.com/watch?v=Tw4EO-ZAZsA,"{'channel_name': 'AP Archive', 'channel_link': 'https://www.youtube.com/c/APArchive'}",867K views,6 years ago,(25 Feb 1996) T/I 10:36:27 Gun battles and molotov cocktails killed at least one person and injured more than 100 in Dhaka on ...,True,,Bangladesh - Protests Against PM Khaleda Zia,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
